"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","05",0.0347,0.0304,0.0333,0.0343,0.4673,0.2145,"A05",2.40803964757709,2.47444895870044,8.05726919024955,7.96554723031842,1.15148347350221,2020-10-29,"T29",29.08,8.05726919024955
"A","06",0.03,0.0306,0.0328,0.03,0.0306,0.0329,"A06",0,0.073265,6.42820202340272,7.96554723031842,19.299932100889,2020-10-29,"T30",29.977,6.42114504829501
"B","05",0.0373,0.0334,0.036,0.0355,0.5144,0.2313,"B05",2.44951801116185,2.51580923338407,8.06569720517307,7.96554723031842,1.25728932311714,2020-10-29,"T29",29.08,8.06569720517307
"B","06",0.0299,0.0306,0.0324,0.03,0.0306,0.0324,"B06",1,1.070418,7.65273296773783,7.96554723031842,3.92709067608007,2020-10-29,"T30",29.977,7.64032951631223
"C","04",0.0349,0.5634,0.2422,0.0351,0.5766,0.2534,"C04",1.18181818181818,1.25171854545454,7.7259074190241,7.96554723031842,3.00845383707235,2020-10-29,"T28",28.127,7.73943230243217
"C","05",0.0348,0.0306,0.0328,0.0352,0.5172,0.235,"C05",2.40931615460852,2.47572183151635,8.05753031174263,7.96554723031842,1.1547616097749,2020-10-29,"T29",29.08,8.05753031174263
"C","06",0.0301,0.031,0.0331,0.0302,0.031,0.033,"C06",0.500000000000017,0.571841500000017,7.36522871797994,7.96554723031842,7.53643779869324,2020-10-29,"T30",29.977,7.35446858244395
