"Sample.Name","pHmean","SE"
"Sump",7.96487426642594,0.000979429496684656
"Tank1",7.83469032476148,0.000899308235743227
"Tank10",7.80870906735488,0.00435071586329482
"Tank11",7.95520343241838,0.000396254691469648
"Tank12",7.97439085707231,0.000430436152325622
"Tank13",7.95147744617181,0.000726080834729734
"Tank14",7.95410924205425,0.000378589290999725
"Tank15",7.96033398441219,0.000631327349870753
"Tank16",7.96020277677985,0.00112220460813855
"Tank17",7.86714658369962,0.00237981221569632
"Tank18",7.88481041042131,0.000325970377620708
"Tank19",7.84391741158484,0.00123108500614681
"Tank2",7.84594316227556,0.00144094550727147
"Tank20",7.86740431343918,0.0015360504642552
"Tank3",7.8211944053587,0.00362825704162184
"Tank4",7.80923499471552,0.00192072466985772
"Tank7",7.83608961814578,0.0037840487300952
"Tank8",7.8095780342389,0.00330529816223226
"Tank9",7.81666859888167,0.00243238554884048
