##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,8,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0351,0.0345,0.0347,0.0372,0.0351,0.0347,0.0363,0.0357,0.036,0.0374,0.0398,,,0.0772,0.0526,0.0566,0.0474,0.0414,0.0319,0.0351,0.0336,0.0365,0.043,0.0439,,,0.0573,0.0488,0.0512,0.056,0.047,0.036,0.0406,0.0376,0.043,0.0458,0.0481
,,,0.0365,0.0585,0.0384,0.0348,0.0367,0.037,0.036,0.0367,0.0382,0.0406,0.0367,,,0.0373,0.0605,0.0373,0.0326,0.0347,0.0341,0.0333,0.0347,0.0356,0.0403,0.0339,,,0.0395,0.0642,0.0416,0.0366,0.0395,0.037,0.0372,0.0391,0.0399,0.0449,0.0377
,,,0.037,0.0355,0.0368,0.0352,0.0362,0.0388,0.0395,0.0406,0.0372,0.0416,0.0357,,,0.0401,0.0454,0.0422,0.0342,0.0349,0.0368,0.0379,0.0402,0.036,0.0489,0.033,,,0.042,0.0467,0.0451,0.0396,0.0388,0.0409,0.0417,0.0452,0.0414,0.0528,0.0374
,,0.0356,0.0346,0.0414,0.0356,0.0367,0.0364,0.0365,,0.0368,,,,,0.0377,0.0387,0.0468,0.0437,0.0395,0.0384,0.0371,,0.034,,,,,0.04,0.0401,0.0487,0.044,0.0428,0.0443,0.0412,,0.0376,,,
,,0.0367,0.0388,0.0357,0.038,0.0361,0.0368,0.0386,,0.0365,,,,,0.0408,0.0405,0.0396,0.04,0.0361,0.0352,0.038,,0.0329,,,,,0.0424,0.0424,0.0413,0.0422,0.0405,0.0394,0.0418,,0.0354,,,
,,0.036,0.0363,0.0363,0.0373,0.0367,0.0395,0.0374,,0.0354,,,,,0.0371,0.0386,0.0387,0.0398,0.0359,0.0411,0.0392,,0.0318,,,,,0.0388,0.0412,0.0411,0.0404,0.0405,0.0476,0.043,,0.034,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
