"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name"
"D","01",0.0342,0.0313,0.0336,0.0344,0.4845,0.3068,"D01",1.65934065934066,1.74053665384615,7.90979727394667,8.0935490943466,2.27034911703047,2020-01-09,"T12-01"
"D","02",0.0345,0.032,0.0344,0.0346,0.41,0.2743,"D02",1.57589658048374,1.65734119662219,7.88504410518011,8.0935490943466,2.57618736522071,2020-01-09,"T14-01"
"D","03",0.0373,0.0362,0.0398,0.0374,0.4659,0.3041,"D03",1.62604087812263,1.70733608932627,7.9000567960236,8.0935490943466,2.39069777754423,2020-01-09,"T15-01"
"D","04",0.0348,0.0316,0.0341,0.0368,0.4678,0.2958,"D04",1.6719291490181,1.7530876361186,7.91343374751929,8.0935490943466,2.22541859853694,2020-01-09,"T16-01"
"D","05",0.0357,0.0328,0.0353,0.0358,0.478,0.3565,"D05",1.38617253192152,1.46818243086266,7.82400913389952,8.0935490943466,3.33030611546371,2020-01-09,"T17-01"
"D","06",0.0344,0.0317,0.0334,0.0357,0.4741,0.3551,"D06",1.37671660424469,1.45875467712235,7.82077102178461,8.0935490943466,3.3703146713786,2020-01-09,"T18-01"
"D","07",0.0347,0.0318,0.0338,0.0346,0.4488,0.3329,"D07",1.39405080213904,1.47603722777406,7.82669152842463,8.0935490943466,3.29716373881484,2020-01-09,"T19-01"
"D","08",0.036,0.0336,0.0358,0.0346,0.4277,0.3597,"D08",1.21580079926222,1.29831832078082,7.76226588532637,8.0935490943466,4.09317599928602,2020-01-09,"T20-01"
"D","09",0.0361,0.0353,0.0363,0.0351,0.5142,0.3052,"D09",1.77806595035198,1.85890820285291,7.94315420020598,8.0935490943466,1.85820697925557,2020-01-09,"Sump-01"
"D","10",NA,NA,NA,NA,NA,NA,"D10",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"D","11",NA,NA,NA,NA,NA,NA,"D11",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"D","12",NA,NA,NA,NA,NA,NA,"D12",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"E","01",0.0345,0.0326,0.0345,0.0348,0.4457,0.3007,"E01",1.55246333207973,1.6339777675818,7.8778796983431,8.0935490943466,2.66470733036195,2020-01-09,"T12-02"
"E","02",0.0343,0.0319,0.0337,0.0346,0.4494,0.2935,"E02",1.60770712909441,1.68905696570328,7.89461699460706,8.0935490943466,2.45790934756292,2020-01-09,"T14-02"
"E","03",0.0351,0.0328,0.0343,0.0346,0.4921,0.3134,"E03",1.6444921316166,1.72573236731044,7.9054759020546,8.0935490943466,2.32374190975591,2020-01-09,"T15-02"
"E","04",0.0357,0.0329,0.0355,0.0352,0.4638,0.2986,"E04",1.63657056145675,1.71783439946889,7.90315609491679,8.0935490943466,2.35240433103451,2020-01-09,"T16-02"
"E","05",0.0353,0.032,0.0343,0.0346,0.4365,0.3315,"E05",1.36018798254448,1.44227530245049,7.8150614822366,8.0935490943466,3.44085899601847,2020-01-09,"T17-02"
"E","06",0.035,0.0316,0.0338,0.0364,0.471,0.3552,"E06",1.36875,1.450811809375,7.8180270084783,8.0935490943466,3.40421838005228,2020-01-09,"T18-02"
"E","07",0.0369,0.0323,0.0344,0.0368,0.4674,0.3477,"E07",1.38864071474154,1.47064325973197,7.82485100408122,8.0935490943466,3.31990437239789,2020-01-09,"T19-02"
"E","08",0.0351,0.0316,0.0342,0.0357,0.4327,0.3683,"E08",1.20089955022489,1.28346147001499,7.75649017652537,8.0935490943466,4.16453787939166,2020-01-09,"T20-02"
"E","09",0.0355,0.0332,0.0358,0.0353,0.5025,0.3057,"E09",1.73824509440948,1.81920599315068,7.93219437415178,8.0935490943466,1.99362131882937,2020-01-09,"Sump-02"
"E","10",NA,NA,NA,NA,NA,NA,"E10",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"E","11",NA,NA,NA,NA,NA,NA,"E11",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"E","12",NA,NA,NA,NA,NA,NA,"E12",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"F","01",0.0346,0.0323,0.0333,0.0345,0.5359,0.3454,"F01",1.61338885329917,1.69472176121076,7.89630877843936,8.0935490943466,2.43700648019811,2020-01-09,"T12-03"
"F","02",0.034,0.0314,0.0332,0.0342,0.4679,0.3028,"F02",1.61952487008166,1.70083949573125,7.89812980234785,8.0935490943466,2.41450678461018,2020-01-09,"T14-03"
"F","03",0.0344,0.0318,0.0343,0.0362,0.5496,0.3421,"F03",1.68627450980392,1.76739025490196,7.91754786382267,8.0935490943466,2.17458655618545,2020-01-09,"T15-03"
"F","04",0.0352,0.0325,0.035,0.0357,0.5124,0.32,"F04",1.68506151142355,1.76618087065026,7.91720120586764,8.0935490943466,2.17886969515186,2020-01-09,"T16-03"
"F","05",0.0349,0.0318,0.0341,0.0353,0.466,0.3524,"F05",1.36458005662158,1.44665429034288,7.81658485270006,8.0935490943466,3.42203696324033,2020-01-09,"T17-03"
"F","06",0.0351,0.0318,0.0342,0.0348,0.4928,0.3727,"F06",1.36157024793388,1.44365344938017,7.81554140216274,8.0935490943466,3.43492933622966,2020-01-09,"T18-03"
"F","07",0.0358,0.034,0.0361,0.0346,0.4592,0.3422,"F07",1.3875691506671,1.46957488838269,7.82448567426479,8.0935490943466,3.32441821190345,2020-01-09,"T19-03"
"F","08",0.0356,0.0321,0.0355,0.0348,0.4234,0.3584,"F08",1.21130676552363,1.29383767701576,7.76053097521035,8.0935490943466,4.11461171427091,2020-01-09,"T20-03"
"F","09",0.0364,0.0327,0.0353,0.0355,0.4875,0.2905,"F09",1.77938305349473,1.86022138168684,7.94351295040324,8.0935490943466,1.85377443435988,2020-01-09,"Sump-03"
"F","10",NA,NA,NA,NA,NA,NA,"F10",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"F","11",NA,NA,NA,NA,NA,NA,"F11",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"F","12",NA,NA,NA,NA,NA,NA,"F12",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","01",NA,NA,NA,NA,NA,NA,"G01",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","02",NA,NA,NA,NA,NA,NA,"G02",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","03",NA,NA,NA,NA,NA,NA,"G03",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","04",NA,NA,NA,NA,NA,NA,"G04",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","05",NA,NA,NA,NA,NA,NA,"G05",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","06",NA,NA,NA,NA,NA,NA,"G06",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","07",NA,NA,NA,NA,NA,NA,"G07",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","08",NA,NA,NA,NA,NA,NA,"G08",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","09",NA,NA,NA,NA,NA,NA,"G09",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","10",NA,NA,NA,NA,NA,NA,"G10",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","11",NA,NA,NA,NA,NA,NA,"G11",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"G","12",NA,NA,NA,NA,NA,NA,"G12",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","01",NA,NA,NA,NA,NA,NA,"H01",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","02",NA,NA,NA,NA,NA,NA,"H02",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","03",NA,NA,NA,NA,NA,NA,"H03",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","04",NA,NA,NA,NA,NA,NA,"H04",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","05",NA,NA,NA,NA,NA,NA,"H05",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","06",NA,NA,NA,NA,NA,NA,"H06",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","07",NA,NA,NA,NA,NA,NA,"H07",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","08",NA,NA,NA,NA,NA,NA,"H08",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","09",NA,NA,NA,NA,NA,NA,"H09",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","10",NA,NA,NA,NA,NA,NA,"H10",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","11",NA,NA,NA,NA,NA,NA,"H11",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
"H","12",NA,NA,NA,NA,NA,NA,"H12",NA,NA,NA,8.0935490943466,NA,2020-01-09,""
