Sample.Name,TempInSitu
Sump-01,17
Sump-02,17
Sump-03,17
T1-01,17
T1-02,17
T1-03,17
T10-01,17
T10-02,17
T10-03,17
T11-01,17
T11-02,17
T11-03,17
T12-01,17
T12-02,17
T12-03,17
T14-01,17
T14-02,17
T14-03,17
T15-01,17
T15-02,17
T15-03,17
T16-01,17
T16-02,17
T16-03,17
T17-01,17
T17-02,17
T17-03,17
T18-01,17
T18-02,17
T18-03,17
T19-01,17
T19-02,17
T19-03,17
T2-01,17
T2-02,17
T2-03,17
T20-01,17
T20-02,17
T20-03,17
T5-01,17
T5-02,17
T5-03,17
T6-01,17
T6-02,17
T6-03,17
T7-01,17
T7-02,17
T7-03,17
T8-01,17
T8-02,17
T8-03,17
Tris01,25
Tris02,25
Tris03,25
