##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.034,0.0369,0.0358,0.0509,0.0356,0.0363,0.0352,0.0384,0.0362,0.0356,0.0373,,,0.0313,0.0344,0.0324,0.0484,0.0328,0.0334,0.032,0.0355,0.0338,0.033,0.0367,,,0.034,0.0386,0.0343,0.0525,0.036,0.0366,0.0356,0.0394,0.0369,0.035,0.0388
,,,0.0338,0.034,0.0357,0.0356,0.034,0.034,0.0358,0.0354,0.0371,0.0398,0.0357,,,0.0306,0.0308,0.0327,0.0332,0.0308,0.0307,0.0331,0.0323,0.0326,0.0373,0.033,,,0.0339,0.0333,0.0348,0.0377,0.0339,0.0333,0.0371,0.0353,0.0367,0.0437,0.0352
,,,0.0337,0.0351,0.0369,0.0378,0.0366,0.035,0.0353,0.0368,0.0351,0.0374,0.0354,,,0.0307,0.0322,0.0341,0.0347,0.0337,0.0319,0.0324,0.0336,0.0327,0.0345,0.0329,,,0.0331,0.0352,0.0372,0.038,0.037,0.0348,0.0364,0.0376,0.0368,0.0381,0.035
,,0.0344,0.0349,0.0359,0.0365,0.0352,0.035,0.0382,0.0368,,,,,,0.0313,0.0318,0.033,0.0332,0.0319,0.032,0.0366,0.0337,,,,,,0.0349,0.0355,0.0364,0.0371,0.0353,0.0357,0.039,0.037,,,,
,,0.0351,0.036,0.0357,0.0366,0.0354,0.0356,0.0361,0.0371,,,,,,0.0321,0.0326,0.0323,0.0334,0.0323,0.0327,0.0334,0.0344,,,,,,0.0344,0.0349,0.0355,0.0364,0.0357,0.0367,0.0373,0.0377,,,,
,,0.0351,0.0348,0.0351,0.0348,0.0357,0.0352,0.0368,0.0358,,,,,,0.0314,0.0314,0.0324,0.0318,0.0331,0.0316,0.0336,0.033,,,,,,0.0337,0.0341,0.0356,0.0349,0.0367,0.0345,0.0369,0.0368,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0335,0.0356,0.0345,0.0496,0.0344,0.0348,0.0348,0.0393,0.0355,0.0375,0.0364,,,0.3587,0.3808,0.3685,0.3272,0.3348,0.29,0.2939,0.316,0.2698,0.4001,0.3993,,,0.2689,0.3272,0.3061,0.3709,0.3773,0.3204,0.3414,0.36,0.3386,0.3103,0.2865
