PST,date,SampleID,Salinity_lab,pH,TempInSitu
2020-03-03T10:43:00Z,20200303,SN197,34,8.156743429,23.08
2020-03-03T10:43:05Z,20200303,SN197,34,8.157059905,23.05
2020-03-03T10:43:10Z,20200303,SN197,34,8.157740496,23.05
2020-03-03T10:43:15Z,20200303,SN197,34,8.157230053,23.05
2020-03-03T10:43:20Z,20200303,SN197,34,8.157059905,23.05
2020-03-03T10:43:25Z,20200303,SN197,34,8.157059905,23.05
2020-03-03T10:43:30Z,20200303,SN197,34,8.157059905,23.05
2020-03-03T10:43:35Z,20200303,SN197,34,8.157059905,23.05
2020-03-03T10:43:40Z,20200303,SN197,34,8.1572709,23.03
2020-03-03T10:43:45Z,20200303,SN197,34,8.156930582,23.03
2020-03-03T10:43:50Z,20200303,SN197,34,8.1572709,23.03
2020-03-03T10:43:55Z,20200303,SN197,34,8.1572709,23.03
2020-03-03T10:44:00Z,20200303,SN197,34,8.1572709,23.03
2020-03-03T10:44:05Z,20200303,SN197,34,8.156930582,23.03
2020-03-03T10:44:10Z,20200303,SN197,34,8.1572709,23.03
2020-03-03T10:44:15Z,20200303,SN197,34,8.157247056,23
2020-03-03T10:44:20Z,20200303,SN197,34,8.157587409,23
2020-03-03T10:44:25Z,20200303,SN197,34,8.157757585,23
2020-03-03T10:44:30Z,20200303,SN197,34,8.157587409,23
2020-03-03T10:44:35Z,20200303,SN197,34,8.157587409,23
2020-03-03T10:44:40Z,20200303,SN197,34,8.157587409,23
2020-03-03T10:44:45Z,20200303,SN197,34,8.158097938,23
2020-03-03T10:44:50Z,20200303,SN197,34,8.157757585,23
2020-03-03T10:44:55Z,20200303,SN197,34,8.157587409,23
2020-03-03T10:45:00Z,20200303,SN197,34,8.157247056,23
2020-03-03T10:45:05Z,20200303,SN197,34,8.15707688,23
2020-03-03T10:45:10Z,20200303,SN197,34,8.157247056,23
2020-03-03T10:45:15Z,20200303,SN197,34,8.15707688,23
2020-03-03T10:45:20Z,20200303,SN197,34,8.15707688,23
2020-03-03T10:45:25Z,20200303,SN197,34,8.156736527,23
2020-03-03T10:45:30Z,20200303,SN197,34,8.156736527,23
2020-03-03T10:45:35Z,20200303,SN197,34,8.156736527,23
2020-03-03T10:45:40Z,20200303,SN197,34,8.156396174,23
2020-03-03T10:45:45Z,20200303,SN197,34,8.156396174,23
2020-03-03T10:45:50Z,20200303,SN197,34,8.156736527,23
2020-03-03T10:45:55Z,20200303,SN197,34,8.156396174,23
2020-03-03T10:46:00Z,20200303,SN197,34,8.162352347,23
2020-03-03T10:46:05Z,20200303,SN197,34,8.164224287,23
2020-03-03T10:46:10Z,20200303,SN197,34,8.158097938,23
2020-03-03T10:46:15Z,20200303,SN197,34,8.160674083,23.03
2020-03-03T10:46:20Z,20200303,SN197,34,8.155058832,23.03
2020-03-03T10:46:25Z,20200303,SN197,34,8.154548355,23.03
2020-03-03T10:46:30Z,20200303,SN197,34,8.154378195,23.03
2020-03-03T10:46:35Z,20200303,SN197,34,8.155058832,23.03
2020-03-03T10:46:40Z,20200303,SN197,34,8.154037877,23.03
2020-03-03T10:46:45Z,20200303,SN197,34,8.153486805,23.05
2020-03-03T10:46:50Z,20200303,SN197,34,8.153316658,23.05
2020-03-03T10:46:55Z,20200303,SN197,34,8.152976362,23.05
2020-03-03T10:47:00Z,20200303,SN197,34,8.152806215,23.05
2020-03-03T10:47:05Z,20200303,SN197,34,8.152806215,23.05
2020-03-03T10:47:10Z,20200303,SN197,34,8.152806215,23.05
2020-03-03T10:47:15Z,20200303,SN197,34,8.152465919,23.05
2020-03-03T10:47:20Z,20200303,SN197,34,8.152149908,23.08
2020-03-03T10:47:25Z,20200303,SN197,34,8.152149908,23.08
2020-03-03T10:47:30Z,20200303,SN197,34,8.151979778,23.08
2020-03-03T10:47:35Z,20200303,SN197,34,8.151979778,23.08
2020-03-03T10:47:40Z,20200303,SN197,34,8.151979778,23.08
2020-03-03T10:47:45Z,20200303,SN197,34,8.151639517,23.08
2020-03-03T10:47:50Z,20200303,SN197,34,8.151639517,23.08
2020-03-03T10:47:55Z,20200303,SN197,34,8.151299256,23.08
2020-03-03T10:48:00Z,20200303,SN197,34,8.151639517,23.08
2020-03-03T10:48:05Z,20200303,SN197,34,8.15108865,23.1
2020-03-03T10:48:10Z,20200303,SN197,34,8.15108865,23.1
2020-03-03T10:48:15Z,20200303,SN197,34,8.150918531,23.1
2020-03-03T10:48:20Z,20200303,SN197,34,8.15108865,23.1
