"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","01",0.036,0.0316,0.0343,0.0356,0.5282,0.2315,"A01",2.51518218623482,2.58058044787449,8.12908959672515,8.09149162219381,0.464660612490942,2022-08-10,"A",NA
"A","02",0.0361,0.0312,0.0338,0.0357,0.5241,0.2293,"A02",2.51812149055641,2.5835114295559,8.12966819071624,8.09149162219381,0.471811259344434,2022-08-10,"A",NA
"A","03",0.0343,0.0283,0.0307,0.034,0.5397,0.2351,"A03",2.49975574010747,2.56519768172936,8.12604395586828,8.09149162219381,0.42702057034443,2022-08-10,"A",NA
"A","04",0.0368,0.0316,0.0348,0.0353,0.56,0.2448,"A04",2.50543735224586,2.57086320638298,8.12716743794149,8.09149162219381,0.440905304157106,2022-08-10,"B",NA
"A","05",0.0377,0.0333,0.0364,0.0366,0.5744,0.2516,"A05",2.50670365233472,2.57212592094313,8.12741755546558,8.09149162219381,0.443996421787316,2022-08-10,"B",NA
"A","06",0.0385,0.0331,0.0366,0.0383,0.5377,0.2381,"A06",2.50272682201289,2.56816035101636,8.12663171483572,8.09149162219381,0.434284484031583,2022-08-10,"B",NA
"B","01",0.0358,0.0314,0.0342,0.0363,0.5432,0.2378,"B01",2.51747907434761,2.5828708323486,8.12954177943333,8.09149162219381,0.470248985182776,2022-08-10,"D",NA
"B","02",0.0354,0.031,0.0338,0.0349,0.5628,0.2442,"B02",2.52394499762921,2.58931844736842,8.13081292379329,8.09149162219381,0.485958627104335,2022-08-10,"D",NA
"B","03",0.0365,0.0316,0.0345,0.0356,0.5606,0.245,"B03",2.50662251655629,2.57204501490066,8.12740153272121,8.09149162219381,0.443798402125244,2022-08-10,"D",NA
"B","04",0.0358,0.0299,0.0327,0.0349,0.5565,0.2424,"B04",2.50474833808167,2.57017614316239,8.12703130206822,8.09149162219381,0.439222847082033,2022-08-10,"C",NA
"B","05",0.038,0.0319,0.0356,0.0359,0.5464,0.2394,"B05",2.50898494414764,2.57440075327829,8.12786789495164,8.09149162219381,0.449562014722365,2022-08-10,"C",NA
"B","06",0.0366,0.0315,0.0349,0.0354,0.5166,0.2283,"B06",2.49897225077081,2.56441641084275,8.12588886674615,8.09149162219381,0.425103876496528,2022-08-10,"C",NA
"C","01",0.0362,0.0318,0.0348,0.0358,0.5279,0.2328,"C01",2.50252016129032,2.56795427545363,8.12659085011116,8.09149162219381,0.433779450763759,2022-08-10,"E",NA
"C","02",0.0356,0.0306,0.0332,0.0352,0.5168,0.2271,"C02",2.50437467833248,2.56980354143078,8.12695746146998,8.09149162219381,0.438310276178053,2022-08-10,"E",NA
"C","03",0.0355,0.031,0.0337,0.0353,0.5084,0.2241,"C03",2.50577124868835,2.57119615739769,8.12723339853694,8.09149162219381,0.441720488779743,2022-08-10,"E",NA
"C","04",0.0357,0.0302,0.0331,0.0353,0.4786,0.2123,"C04",2.4988864142539,2.56433081737194,8.12587187330196,8.09149162219381,0.424893860284647,2022-08-10,"F",NA
"C","05",0.0394,0.0342,0.0372,0.038,0.4814,0.2158,"C05",2.49222222222222,2.557685495,8.12455108952459,8.09149162219381,0.408570741642931,2022-08-10,"F",NA
"C","06",0.0362,0.0305,0.0333,0.0359,0.4164,0.1894,"C06",2.4693094629156,2.53483761317136,8.11998806230546,8.09149162219381,0.352177836203673,2022-08-10,"F",NA
