Sample.Name,TempInSitu
Sump,10.1
Tank2,14.1
Tank3,14.5
Tank4,17.9
Tank5,20.2
Tank6,21.1
Tank7,23.6
Tank8,24.5
Tank9,11.8
Tank10,13.4
Tank11,16
Tank12,17
Tank13,18.9
Tank14,17.3
Tank15,23.7
Tank16,25.7
Tank18,10
