"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","01",0.0351,0.0346,0.0359,0.0334,0.5556,0.2376,"A01",2.56981317600787,2.64829641764995,8.14294298970106,8.09048640342451,0.648373702900544,2020-02-18,"Tris",25,8.14294298970106
"A","01",0.0351,0.0346,0.0359,0.0334,0.5556,0.2376,"A01",2.56981317600787,2.64829641764995,8.14294298970106,8.09048640342451,0.648373702900544,2020-02-18,"Tris",25,8.14294298970106
"A","01",0.0351,0.0346,0.0359,0.0334,0.5556,0.2376,"A01",2.56981317600787,2.64829641764995,8.14294298970106,8.09048640342451,0.648373702900544,2020-02-18,"Tris",25,8.14294298970106
"B","01",0.0348,0.0358,0.0368,0.0356,0.471,0.2049,"B01",2.59653317393903,2.67493680334728,8.14807070345909,8.09048640342451,0.711753251451047,2020-02-18,"Tris",25,8.14807070345909
"B","01",0.0348,0.0358,0.0368,0.0356,0.471,0.2049,"B01",2.59653317393903,2.67493680334728,8.14807070345909,8.09048640342451,0.711753251451047,2020-02-18,"Tris",25,8.14807070345909
"B","01",0.0348,0.0358,0.0368,0.0356,0.471,0.2049,"B01",2.59653317393903,2.67493680334728,8.14807070345909,8.09048640342451,0.711753251451047,2020-02-18,"Tris",25,8.14807070345909
"C","01",0.0339,0.0367,0.035,0.0345,0.4473,0.1942,"C01",2.58511979823455,2.66355743379571,8.14588559003229,8.09048640342451,0.684744820587538,2020-02-18,"Tris",25,8.14588559003229
"C","01",0.0339,0.0367,0.035,0.0345,0.4473,0.1942,"C01",2.58511979823455,2.66355743379571,8.14588559003229,8.09048640342451,0.684744820587538,2020-02-18,"Tris",25,8.14588559003229
"C","01",0.0339,0.0367,0.035,0.0345,0.4473,0.1942,"C01",2.58511979823455,2.66355743379571,8.14588559003229,8.09048640342451,0.684744820587538,2020-02-18,"Tris",25,8.14588559003229
