PST,Temp_degC,mV,pH
2020-03-03T10:43:00Z,22.57,-87.88,8.217792447
2020-03-03T10:43:05Z,22.6,-87.38,8.208814731
2020-03-03T10:43:10Z,22.6,-86.92,8.200976031
2020-03-03T10:43:15Z,22.6,-86.6,8.195523022
2020-03-03T10:43:20Z,22.6,-86.28,8.190070014
2020-03-03T10:43:25Z,22.6,-86.03,8.185809851
2020-03-03T10:43:30Z,22.6,-85.72,8.180527249
2020-03-03T10:43:35Z,22.6,-85.57,8.177971151
2020-03-03T10:43:40Z,22.6,-85.36,8.174392614
2020-03-03T10:43:45Z,22.6,-85.19,8.171495703
2020-03-03T10:43:50Z,22.6,-85.03,8.168769199
2020-03-03T10:43:55Z,22.6,-84.91,8.166724321
2020-03-03T10:44:00Z,22.6,-84.67,8.162634564
2020-03-03T10:44:05Z,22.6,-84.53,8.160248873
2020-03-03T10:44:10Z,22.6,-84.52,8.160078466
2020-03-03T10:44:15Z,22.6,-84.47,8.159226434
2020-03-03T10:44:20Z,22.6,-84.3,8.156329523
2020-03-03T10:44:25Z,22.6,-84.25,8.15547749
2020-03-03T10:44:30Z,22.6,-84.22,8.154966271
2020-03-03T10:44:35Z,22.6,-84.19,8.154455051
2020-03-03T10:44:40Z,22.6,-84.13,8.153432612
2020-03-03T10:44:45Z,22.6,-84.11,8.153091799
2020-03-03T10:44:50Z,22.6,-84.08,8.152580579
2020-03-03T10:44:55Z,22.6,-84.05,8.15206936
2020-03-03T10:45:00Z,22.6,-84.03,8.151728547
2020-03-03T10:45:05Z,22.6,-84.05,8.15206936
2020-03-03T10:45:10Z,22.6,-83.99,8.151046921
2020-03-03T10:45:15Z,22.6,-83.97,8.150706108
2020-03-03T10:45:20Z,22.6,-83.92,8.149854075
2020-03-03T10:45:25Z,22.6,-83.96,8.150535701
2020-03-03T10:45:30Z,22.6,-83.92,8.149854075
2020-03-03T10:45:35Z,22.62,-83.91,8.149383344
2020-03-03T10:45:40Z,22.62,-83.88,8.148872159
2020-03-03T10:45:45Z,22.62,-83.85,8.148360974
2020-03-03T10:45:50Z,22.62,-83.8,8.147508999
2020-03-03T10:45:55Z,22.64,-83.72,8.145845754
2020-03-03T10:46:00Z,22.64,-80.3,8.087574605
2020-03-03T10:46:05Z,22.64,-83.6,8.143801152
2020-03-03T10:46:10Z,22.64,-83.75,8.146356904
2020-03-03T10:46:15Z,22.67,-84.25,8.154425074
2020-03-03T10:46:20Z,22.67,-83.75,8.145906764
2020-03-03T10:46:25Z,22.67,-83.74,8.145736398
2020-03-03T10:46:30Z,22.69,-83.63,8.14356244
2020-03-03T10:46:35Z,22.69,-83.69,8.144584569
2020-03-03T10:46:40Z,22.69,-83.71,8.144925278
2020-03-03T10:46:45Z,22.72,-83.67,8.143793936
2020-03-03T10:46:50Z,22.72,-83.67,8.143793936
2020-03-03T10:46:55Z,22.72,-83.66,8.143623598
2020-03-03T10:47:00Z,22.74,-83.64,8.142983035
2020-03-03T10:47:05Z,22.74,-83.64,8.142983035
2020-03-03T10:47:10Z,22.74,-83.63,8.142812709
2020-03-03T10:47:15Z,22.76,-83.63,8.142512853
2020-03-03T10:47:20Z,22.76,-83.63,8.142512853
2020-03-03T10:47:25Z,22.76,-83.63,8.142512853
2020-03-03T10:47:30Z,22.79,-83.61,8.141722513
2020-03-03T10:47:35Z,22.79,-83.61,8.141722513
2020-03-03T10:47:40Z,22.79,-83.55,8.140700731
2020-03-03T10:47:45Z,22.81,-83.57,8.14074159
2020-03-03T10:47:50Z,22.81,-83.57,8.14074159
2020-03-03T10:47:55Z,22.81,-83.57,8.14074159
2020-03-03T10:48:00Z,22.81,-83.57,8.14074159
2020-03-03T10:48:05Z,22.84,-83.57,8.140292026
2020-03-03T10:48:10Z,22.84,-83.55,8.139951489
2020-03-03T10:48:15Z,22.84,-83.55,8.139951489
2020-03-03T10:48:20Z,22.84,-83.53,8.139610952
2020-03-03T10:48:25Z,22.84,-83.53,8.139610952
2020-03-03T10:48:30Z,22.86,-83.53,8.139311315
2020-03-03T10:48:35Z,22.86,-83.55,8.139651829
2020-03-03T10:48:40Z,22.86,-83.55,8.139651829
2020-03-03T10:48:45Z,22.86,-83.55,8.139651829
2020-03-03T10:48:50Z,22.86,-83.55,8.139651829
2020-03-03T10:48:55Z,22.88,-83.55,8.139352189
2020-03-03T10:49:00Z,22.88,-83.53,8.139011698
2020-03-03T10:49:05Z,22.88,-83.53,8.139011698
2020-03-03T10:49:10Z,22.88,-83.55,8.139352189
2020-03-03T10:49:15Z,22.88,-83.53,8.139011698
2020-03-03T10:49:20Z,22.91,-83.53,8.138562312
2020-03-03T10:49:25Z,22.91,-83.53,8.138562312
2020-03-03T10:49:30Z,22.91,-83.55,8.138902768
2020-03-03T10:49:35Z,22.91,-83.55,8.138902768
2020-03-03T10:49:40Z,22.91,-83.55,8.138902768
2020-03-03T10:49:45Z,22.91,-83.53,8.138562312
2020-03-03T10:49:50Z,22.91,-83.53,8.138562312
2020-03-03T10:49:55Z,22.93,-83.53,8.138262747
2020-03-03T10:50:00Z,22.93,-83.53,8.138262747
2020-03-03T10:50:05Z,22.93,-83.55,8.13860318
2020-03-03T10:50:10Z,22.93,-83.53,8.138262747
2020-03-03T10:50:15Z,22.93,-83.55,8.13860318
2020-03-03T10:50:20Z,22.93,-83.55,8.13860318
2020-03-03T10:50:25Z,22.93,-83.55,8.13860318
2020-03-03T10:50:30Z,22.96,-83.55,8.138153836
2020-03-03T10:50:35Z,22.96,-83.55,8.138153836
2020-03-03T10:50:40Z,22.96,-83.53,8.137813437
2020-03-03T10:50:45Z,22.96,-83.55,8.138153836
2020-03-03T10:50:50Z,22.96,-83.55,8.138153836
2020-03-03T10:50:55Z,22.96,-83.55,8.138153836
2020-03-03T10:51:00Z,22.96,-83.55,8.138153836
2020-03-03T10:51:05Z,22.98,-83.55,8.137854299
2020-03-03T10:51:10Z,22.98,-83.55,8.137854299
2020-03-03T10:51:15Z,22.98,-83.55,8.137854299
2020-03-03T10:51:20Z,22.98,-83.55,8.137854299
2020-03-03T10:51:25Z,22.98,-83.55,8.137854299
2020-03-03T10:51:30Z,22.98,-83.55,8.137854299
2020-03-03T10:51:35Z,22.98,-83.55,8.137854299
2020-03-03T10:51:40Z,22.98,-83.55,8.137854299
2020-03-03T10:51:45Z,23,-83.57,8.137895136
2020-03-03T10:51:50Z,23,-83.55,8.137554783
2020-03-03T10:51:55Z,23,-83.55,8.137554783
2020-03-03T10:52:00Z,23,-83.55,8.137554783
2020-03-03T10:52:05Z,23,-83.53,8.13721443
2020-03-03T10:52:10Z,23,-83.55,8.137554783
2020-03-03T10:52:15Z,23,-83.57,8.137895136
2020-03-03T10:52:20Z,23.03,-83.57,8.137445865
2020-03-03T10:52:25Z,23.03,-83.57,8.137445865
2020-03-03T10:52:30Z,23.03,-83.58,8.137616024
2020-03-03T10:52:35Z,23.03,-83.58,8.137616024
2020-03-03T10:52:40Z,23.03,-83.58,8.137616024
2020-03-03T10:52:45Z,23.03,-83.58,8.137616024
2020-03-03T10:52:50Z,23.03,-83.57,8.137445865
2020-03-03T10:52:55Z,23.05,-83.58,8.137316525
2020-03-03T10:53:00Z,23.05,-83.57,8.137146377
2020-03-03T10:53:05Z,23.05,-83.58,8.137316525
2020-03-03T10:53:10Z,23.05,-83.58,8.137316525
2020-03-03T10:53:15Z,23.05,-83.58,8.137316525
2020-03-03T10:53:20Z,23.05,-83.58,8.137316525
2020-03-03T10:53:25Z,23.05,-82.82,8.124385305
2020-03-03T10:53:30Z,23.08,-83.63,8.137717966
2020-03-03T10:53:35Z,23.08,-83.6,8.137207575
2020-03-03T10:53:40Z,23.08,-83.6,8.137207575
2020-03-03T10:53:45Z,23.08,-83.6,8.137207575
2020-03-03T10:53:50Z,23.08,-83.6,8.137207575
2020-03-03T10:53:55Z,23.08,-83.6,8.137207575
2020-03-03T10:54:00Z,23.08,-83.6,8.137207575
2020-03-03T10:54:05Z,23.08,-83.6,8.137207575
