"","date","SampleID","Salinity_lab","pH","TempInSitu"
"1",20200303,"SN195",34,8.21779244680762,22.57
"2",20200303,"SN195",34,8.20881473091975,22.6
"3",20200303,"SN195",34,8.20097603102135,22.6
"4",20200303,"SN195",34,8.19552302239638,22.6
"5",20200303,"SN195",34,8.19007001377141,22.6
"6",20200303,"SN195",34,8.18580985078315,22.6
"7",20200303,"SN195",34,8.18052724867771,22.6
"8",20200303,"SN195",34,8.17797115088476,22.6
"9",20200303,"SN195",34,8.17439261397462,22.6
"10",20200303,"SN195",34,8.17149570314261,22.6
"11",20200303,"SN195",34,8.16876919883012,22.6
"12",20200303,"SN195",34,8.16672432059576,22.6
"13",20200303,"SN195",34,8.16263456412703,22.6
"14",20200303,"SN195",34,8.16024887285361,22.6
"15",20200303,"SN195",34,8.16007846633408,22.6
"16",20200303,"SN195",34,8.15922643373642,22.6
"17",20200303,"SN195",34,8.15632952290441,22.6
"18",20200303,"SN195",34,8.15547749030676,22.6
"19",20200303,"SN195",34,8.15496627074817,22.6
"20",20200303,"SN195",34,8.15445505118958,22.6
"21",20200303,"SN195",34,8.15343261207239,22.6
"22",20200303,"SN195",34,8.15309179903333,22.6
"23",20200303,"SN195",34,8.15258057947474,22.6
"24",20200303,"SN195",34,8.15206935991615,22.6
"25",20200303,"SN195",34,8.15172854687709,22.6
"26",20200303,"SN195",34,8.15206935991615,22.6
"27",20200303,"SN195",34,8.15104692079897,22.6
"28",20200303,"SN195",34,8.15070610775991,22.6
"29",20200303,"SN195",34,8.14985407516226,22.6
"30",20200303,"SN195",34,8.15053570124038,22.6
"31",20200303,"SN195",34,8.14985407516226,22.6
"32",20200303,"SN195",34,8.14938334368046,22.62
"33",20200303,"SN195",34,8.14887215869059,22.62
"34",20200303,"SN195",34,8.14836097370072,22.62
"35",20200303,"SN195",34,8.14750899871761,22.62
"36",20200303,"SN195",34,8.14584575368287,22.64
"37",20200303,"SN195",34,8.08757460513939,22.64
"38",20200303,"SN195",34,8.14380115197958,22.64
"39",20200303,"SN195",34,8.14635690410869,22.64
"40",20200303,"SN195",34,8.15442507374616,22.67
"41",20200303,"SN195",34,8.14590676393765,22.67
