Sample.Name,TempInSitu
Sump,9.5
Tank2,14
Tank3,14.5
Tank4,17.9
Tank5,20.1
Tank6,21.1
Tank7,23.5
Tank8,23.9
Tank9,13.5
Tank10,11.7
Tank11,16
Tank12,16.7
Tank13,17.2
Tank14,17.3
Tank15,23.7
Tank16,25.5
Tank18,9.7
