##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate3_10-11-19_NoDye,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,0.034,0.0348,0.0348,0.0335,0.0338,0.0328,0.0344,0.0335,0.0341,0.0342,0.0328,0.0342,,0.0296,0.0316,0.0302,0.0292,0.029,0.0285,0.03,0.0298,0.03,0.0312,0.0282,0.0292,,0.0335,0.0343,0.0342,0.0333,0.0333,0.0321,0.0339,0.0334,0.0336,0.0353,0.0319,0.0334
,,0.033,0.033,0.0329,0.035,0.0342,0.0334,0.0337,0.0325,0.0344,0.0347,0.0334,0.0326,,0.029,0.0294,0.028,0.031,0.0302,0.0296,0.029,0.0278,0.0298,0.0299,0.0293,0.0282,,0.0329,0.0334,0.0315,0.0346,0.0338,0.0326,0.0324,0.031,0.0319,0.0325,0.0337,0.0324
,,0.0327,0.034,0.0336,0.0324,0.0337,0.0329,0.0346,0.034,0.0334,0.0342,0.0334,0.0337,,0.0289,0.0296,0.0292,0.0304,0.0299,0.0287,0.0342,0.0297,0.0291,0.0298,0.0296,0.029,,0.0317,0.0329,0.0338,0.0341,0.0341,0.0323,0.0338,0.0326,0.0321,0.0339,0.0334,0.0326
,,0.0345,0.0338,0.0328,0.0343,0.0324,0.0332,0.0353,0.0333,0.0341,0.0353,0.0339,0.0332,,0.0291,0.0292,0.0286,0.0297,0.0286,0.0288,0.0324,0.0285,0.0296,0.0301,0.0288,0.0284,,0.0325,0.0328,0.0325,0.0335,0.0316,0.0325,0.0353,0.032,0.0326,0.0335,0.0328,0.0325
,,0.0325,0.0339,0.0333,0.0345,0.0336,0.0336,0.0336,0.0349,0.0342,0.034,0.0339,0.0346,,0.0283,0.0294,0.0288,0.0305,0.0297,0.0291,0.0292,0.0305,0.0299,0.0292,0.029,0.0298,,0.0319,0.0333,0.0324,0.0341,0.0336,0.0326,0.0329,0.0342,0.0341,0.0332,0.0331,0.0339
,,0.0341,0.0336,0.0337,0.0348,0.0355,0.0342,0.0334,0.0342,0.0337,0.0361,0.0365,0.0358,,0.0291,0.0286,0.0284,0.0299,0.0305,0.0293,0.0287,0.0296,0.0292,0.0306,0.0308,0.0323,,0.0326,0.0315,0.0324,0.0337,0.0336,0.0328,0.0321,0.035,0.0316,0.0343,0.0357,0.0371
,,0.0332,0.0336,0.0335,0.0354,0.0343,0.0337,0.0335,0.0341,0.034,0.0352,0.0341,0.0335,,0.028,0.0293,0.0288,0.031,0.0307,0.0293,0.0291,0.0299,0.03,0.0305,0.0297,0.0292,,0.0318,0.0331,0.0328,0.0354,0.0342,0.0334,0.0334,0.0339,0.0339,0.035,0.033,0.033
,,0.0349,0.0351,0.036,0.0347,0.0342,0.0348,0.0358,0.0342,0.0347,0.036,0.0341,0.033,,0.0296,0.0303,0.0312,0.0298,0.0296,0.0294,0.0298,0.0291,0.0299,0.031,0.0296,0.0281,,0.0333,0.0336,0.0345,0.0329,0.0333,0.0333,0.0336,0.033,0.0336,0.0341,0.0333,0.032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate3_10-11-19_WithDye,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25.5,0.0345,0.0337,0.0338,0.0344,0.0347,0.0341,0.034,0.0343,0.0346,0.0348,0.0341,0.0362,,0.5612,0.5031,0.3834,0.4845,0.4742,0.5217,0.5391,0.3569,0.6239,0.5339,0.4274,0.5118,,0.2449,0.2187,0.1714,0.4349,0.424,0.5036,0.4211,0.2752,0.5009,0.4897,0.3717,0.5048
,,0.0351,0.0358,0.0344,0.0359,0.0343,0.035,0.0352,0.0346,0.0349,0.0349,0.0348,0.0338,,0.5624,0.5688,0.586,0.6149,0.4278,0.4589,0.5158,0.6172,0.3006,0.6836,0.3657,0.3908,,0.4521,0.4557,0.4778,0.4612,0.3072,0.3261,0.4771,0.6407,0.2636,0.6109,0.2957,0.312
,,0.0342,0.0352,0.0364,0.0353,0.0357,0.0358,0.0359,0.0349,0.0345,0.0355,0.0365,0.0348,,0.4856,0.3212,0.7289,0.8555,0.2866,0.5028,0.4115,0.4689,0.4451,0.3397,0.4108,0.3638,,0.3975,0.2542,0.6995,0.8936,0.219,0.3944,0.3117,0.3647,0.3351,0.2999,0.3656,0.3286
,,0.0351,0.036,0.0352,0.0355,0.0337,0.0348,0.0376,0.0351,0.0376,0.0351,0.0346,0.0342,,0.5195,0.5123,0.3777,0.3936,0.4499,0.5156,0.3915,0.3925,0.4698,0.4539,0.3531,0.4914,,0.407,0.4014,0.2907,0.3176,0.3658,0.44,0.2974,0.3013,0.3686,0.3754,0.2871,0.4084
,,0.0343,0.0386,0.0347,0.0364,0.0402,0.0349,0.0362,0.0361,0.0356,0.0362,0.0355,0.0348,,0.5346,0.5894,0.551,0.3567,0.4438,0.3438,0.5443,0.4191,0.2979,0.3659,0.4711,0.4625,,0.491,0.5421,0.5088,0.3259,0.4232,0.3154,0.6846,0.499,0.309,0.2937,0.3841,0.38
,,0.0343,0.0358,0.0364,0.0353,0.0352,0.0356,0.0352,0.0365,0.0351,0.0351,0.0346,0.036,,0.3285,0.5223,0.7245,0.6362,0.4666,0.4811,0.3825,0.3522,0.4124,0.6168,0.7325,0.7689,,0.2393,0.3937,0.6341,0.4982,0.3417,0.363,0.3989,0.372,0.4331,0.5046,0.5977,0.6626
,,0.0345,0.0361,0.0366,0.0364,0.0371,0.0365,0.0361,0.0357,0.0364,0.0368,0.0353,0.0367,,0.3432,0.5072,0.6439,0.6423,0.4392,0.6611,0.4621,0.4226,0.3564,0.4459,0.3878,0.6415,,0.2569,0.4056,0.5454,0.4653,0.3041,0.4833,0.3923,0.3601,0.2952,0.2866,0.2483,0.4238
,,0.0357,0.0358,0.037,0.0351,0.0346,0.0362,0.0374,0.0358,0.0356,0.0367,0.0359,0.0344,,0.4335,0.4133,0.4406,0.5543,0.3188,0.3959,0.675,0.4063,0.3898,0.5842,0.3575,0.3982,,0.3654,0.3413,0.3674,0.5035,0.2687,0.3373,0.6517,0.3331,0.3124,0.476,0.2743,0.3085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate3_10-11-19; Date Last Saved: 3/9/2020 3:25:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Panos_PV"" SectionNameToRead=""Plate4_10-11-19_NoDye"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Panos_PV"" SectionNameToRead=""Plate4_10-11-19_WithDye"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
