##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate4_10-11-19_NoDye,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,12,96,1,7,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25.5,0.0329,0.0329,0.0352,0.0335,0.0334,0.0329,0.0343,0.0349,0.034,0.0342,0.0331,0.0332,,0.029,0.0284,0.0304,0.0288,0.0288,0.0283,0.0298,0.03,0.0297,0.0295,0.0286,0.0286,,0.0334,0.0333,0.0356,0.0326,0.0323,0.032,0.033,0.0328,0.0332,0.0335,0.0315,0.0329
,,0.0355,0.0345,0.0337,0.0353,0.0337,0.0392,0.0336,0.0327,0.0347,0.0343,0.0342,0.0344,,0.0308,0.0293,0.0295,0.0304,0.0297,0.0347,0.0294,0.0283,0.0292,0.0294,0.0297,0.0302,,0.0346,0.0328,0.0326,0.033,0.0335,0.0379,0.0324,0.0313,0.032,0.033,0.033,0.0348
,,0.0328,0.0331,0.0341,0.0339,0.0335,0.0335,0.0334,0.0335,0.0342,0.0347,0.033,0.0345,,0.0281,0.0282,0.0298,0.0297,0.029,0.0291,0.0292,0.0293,0.0297,0.0304,0.0282,0.0298,,0.0312,0.0312,0.0332,0.0329,0.0329,0.033,0.033,0.0328,0.033,0.0341,0.0312,0.0332
,,0.0347,0.0336,0.0343,0.0338,0.0348,0.0337,0.0348,0.0337,0.0335,0.0345,0.0354,0.033,,0.0307,0.0294,0.0294,0.0295,0.0305,0.0289,0.0307,0.0284,0.0285,0.0291,0.0306,0.0277,,0.0342,0.0333,0.033,0.0337,0.0333,0.0332,0.0347,0.032,0.0321,0.0326,0.0343,0.0311
,,0.0331,0.0338,0.0345,0.0348,0.0353,0.0344,0.0338,0.0346,0.034,0.034,0.0336,0.0334,,0.0286,0.0291,0.0302,0.0314,0.0307,0.0301,0.0294,0.0299,0.03,0.0297,0.0292,0.0286,,0.0325,0.0327,0.0336,0.035,0.0354,0.0346,0.0327,0.0339,0.0339,0.0333,0.0329,0.0324
,,0.0348,0.0337,0.0335,0.0356,0.0352,0.0335,0.034,0.033,0.0348,0.0348,0.033,0.0331,,0.0305,0.0292,0.0289,0.0302,0.0306,0.0287,0.0294,0.0282,0.0295,0.03,0.0288,0.028,,0.0336,0.0324,0.0322,0.0336,0.0342,0.0333,0.0336,0.0316,0.0329,0.0326,0.0321,0.0327
,,0.0336,0.0348,0.0349,0.0343,0.0348,0.034,0.0346,0.0343,0.0339,0.0343,0.0335,0.0342,,0.0286,0.0302,0.0305,0.0299,0.0304,0.0297,0.0301,0.0293,0.0298,0.0298,0.0293,0.0294,,0.0325,0.0345,0.0339,0.0335,0.0341,0.034,0.0344,0.0331,0.0336,0.0338,0.033,0.0337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate4_10-11-19_WithDye,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,12,96,1,7,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26,0.0341,0.0338,0.0348,0.0355,0.034,0.035,0.0356,0.0351,0.0355,0.0346,0.0359,0.0354,,0.5331,0.6556,0.4544,0.5006,0.441,0.4507,0.3776,0.4296,0.4367,0.5405,0.4927,0.5205,,0.2364,0.2805,0.1994,0.4019,0.3389,0.3445,0.3417,0.3983,0.4052,0.4347,0.4026,0.414
,,0.0343,0.035,0.0342,0.0357,0.0352,0.0396,0.0346,0.0343,0.0355,0.0361,0.0352,0.0355,,0.4378,0.3543,0.2541,0.3255,0.4124,0.365,0.2661,0.336,0.4874,0.5637,0.4608,0.502,,0.4413,0.3484,0.2404,0.2898,0.3748,0.3139,0.2118,0.2721,0.4132,0.5299,0.404,0.4619
,,0.0344,0.0347,0.0351,0.035,0.0374,0.0458,0.0363,0.0348,0.0348,0.036,0.0348,0.0348,,0.6205,0.4325,0.4448,0.4829,0.4419,0.6151,0.5278,0.5016,0.4884,0.5615,0.4796,0.5459,,0.4476,0.2945,0.3036,0.4012,0.3596,0.7899,0.3471,0.3221,0.3163,0.6198,0.4861,0.5689
,,0.0353,0.0356,0.0346,0.0355,0.0347,0.035,0.0353,0.0356,0.0353,0.035,0.0342,0.0346,,0.5351,0.353,0.4059,0.475,0.4466,0.4512,0.392,0.5789,0.3959,0.6871,0.5984,0.6926,,0.5335,0.3255,0.3857,0.3429,0.3199,0.3214,0.3257,0.5196,0.35,0.5846,0.4552,0.5896
,,0.0357,0.0355,0.036,0.037,0.0375,0.0356,0.0355,0.0366,0.0362,0.0358,0.0348,0.0349,,0.5921,0.6779,0.7109,0.463,0.3874,0.5849,0.6013,0.8509,0.4012,0.4878,0.5159,0.6236,,0.6081,0.6297,0.7006,0.3964,0.3134,0.4978,0.5123,0.8376,0.3111,0.3489,0.3725,0.4744
,,0.0357,0.0357,0.036,0.0348,0.0357,0.0348,0.0352,0.035,0.0347,0.0348,0.0348,0.0355,,0.8276,0.6009,0.5204,0.2918,0.507,0.4017,0.4355,0.4575,0.3183,0.396,0.3881,0.413,,0.6644,0.4442,0.3817,0.2607,0.4988,0.3723,0.3942,0.445,0.2808,0.3586,0.3548,0.3778
,,0.0351,0.0358,0.0351,0.0368,0.0356,0.0353,0.036,0.0359,0.037,0.0366,0.0351,0.0348,,0.4846,0.4847,0.5528,0.4032,0.4863,0.305,0.6314,0.5671,0.5057,0.5887,0.4034,0.4075,,0.312,0.3203,0.3547,0.3186,0.377,0.2297,0.4168,0.3698,0.3299,0.5922,0.3463,0.346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate4_10-11-19; Date Last Saved: 3/9/2020 3:26:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Panos_PV"" SectionNameToRead=""Plate4_10-11-19_NoDye"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Panos_PV"" SectionNameToRead=""Plate4_10-11-19_WithDye"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
