"Sample.Name","pHmean","SE"
"Sump",7.93780221013562,0.00120803743932177
"Tank1",7.80055383429124,0.00443543230921375
"Tank10",7.80912095928769,0.00266195962694203
"Tank11",7.90934326862637,0.00244629772242414
"Tank12",7.91110272082307,0.00294849597875055
"Tank13",7.93613108329573,0.00363681576045083
"Tank14",7.93557066956151,0.00145226141921515
"Tank15",7.93157639853224,0.00139882395564942
"Tank16",7.92439741959087,0.00183410561228074
"Tank17",7.86453129140353,0.00316811229862791
"Tank18",7.85857964017304,0.00338874043633416
"Tank19",7.85290417102003,0.00259575940661194
"Tank2",7.81929151779419,0.00266523648289113
"Tank20",7.85038275152666,0.00462540202631476
"Tank3",7.82920252029462,0.00198922036771494
"Tank4",7.82188074015567,0.00222588127807483
"Tank7",7.81973048796828,0.00186580687308945
"Tank8",7.81501903948792,0.00110279465784833
"Tank9",7.80316081615968,0.00257803079142256
