date,SampleID,TA_Raw,Salinity_lab,mV,TempInSitu,Notes
20200114,Tank6,,34,-57.1,15.345,
20200114,Tank7,,34,-64.4,15.968,
20200114,Tank8,,34,-65.3,15.042,
20200114,Tank8,,34,-64.7,17.028,
20200114,Tank16,,34,-62.9,17.068,
20200114,Tank4,,34,-58.7,16.96,
20200114,Tank3,,34,-58.7,16.96,
20200114,Tank1,,34,-47,17.204,
20200114,Tank2,,34,-52.7,16.907,
20200114,Tank17,,34,-52.3,17.054,
20200114,Tank18,,34,-52.1,16.846,
20200114,Tank19,,34,-53.9,17.185,
20200114,Tank20,,34,-51.7,17.061,
20200114,Tank10,,34,-48.3,16.98,
20200114,Tank12,,34,-64.8,17.133,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,cloudy,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,bottleneck headspace,,,,,
,headspace; leak? ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,headspace; leak?,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,particulate at bottom,,,,,
,,,,,,
,,,,,,
,particulate at bottom,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,bottleneck headspace,,,,,
