"","date","SampleID","Salinity_lab","pH","TempInSitu"
"1",20200116,"Sump",34,8.10160255998323,14.809
"2",20200116,"Tank1",34,7.80340646512883,16.985
"3",20200116,"Tank2",34,7.81493446977936,16.949
"4",20200116,"Tank3",34,7.79094082526661,16.995
"5",20200116,"Tank4",34,7.74894832727886,17.005
"6",20200116,"Tank7",34,7.75671987938721,16.978
"7",20200116,"Tank8",34,7.75092794301895,17.054
"8",20200116,"Tank9",34,7.71354782993322,17.084
"9",20200116,"Tank10",34,7.7017261725126,17.073
"10",20200116,"Tank11",34,7.95896011864892,17.01
"11",20200116,"Tank12",34,7.99317917650983,17.082
"12",20200116,"Tank13",34,7.96575152742085,17.015
"13",20200116,"Tank14",34,7.96748839189972,17.015
"14",20200116,"Tank15",34,7.98293196066071,16.91
"15",20200116,"Tank16",34,7.9733312947047,17.217
"16",20200116,"Tank17",34,7.83835681501701,17.091
"17",20200116,"Tank18",34,7.81414937225892,16.918
"18",20200116,"Tank19",34,7.8338596246245,16.955
"19",20200116,"Tank20",34,7.80726723637765,17.029
