"","date","SampleID","Salinity_lab","pH","TempInSitu"
"1",20200114,"Tank6",34,7.88522824019491,15.345
"2",20200114,"Tank7",34,8.01519148808646,15.968
"3",20200114,"Tank8",34,8.02729791493636,15.042
"4",20200114,"Tank8",34,8.02449605451756,17.028
"5",20200114,"Tank16",34,7.99339062167761,17.068
"6",20200114,"Tank4",34,7.92000508856023,16.96
"7",20200114,"Tank3",34,7.92000508856023,16.96
"8",20200114,"Tank1",34,7.71794104602323,17.204
"9",20200114,"Tank2",34,7.81553303930405,16.907
"10",20200114,"Tank17",34,7.80925288580931,17.054
"11",20200114,"Tank18",34,7.80482883178278,16.846
"12",20200114,"Tank19",34,7.83762219314762,17.185
"13",20200114,"Tank20",34,7.79886521395178,17.061
"14",20200114,"Tank10",34,7.73943288356425,16.98
"15",20200114,"Tank12",34,8.02663209790706,17.133
