"","date","SampleID","Salinity_lab","pH","TempInSitu"
"1",20200111,"Sump",34,8.12348654528608,14.864
"2",20200111,"Tank1",34,7.98588795949352,17.192
"3",20200111,"Tank2",34,7.99832290331602,17.053
"4",20200111,"Tank4",34,8.0627143506892,16.993
"5",20200111,"Tank5",34,7.78478581898932,17
"6",20200111,"Tank6",34,7.75336940222424,17.126
"7",20200111,"Tank7",34,7.78832560814003,16.95
"8",20200111,"Tank8",34,7.75529251651423,16.971
"9",20200111,"Tank9",34,7.77081967014862,17.056
"10",20200111,"Tank10",34,7.79524779949978,16.97
"11",20200111,"Tank11",34,8.01576709409195,17.016
"12",20200111,"Tank12",34,8.03981180575057,17.14
"13",20200111,"Tank13",34,7.99672885989809,16.983
"14",20200111,"Tank14",34,8.02567860837904,17.254
"15",20200111,"Tank15",34,8.01747864499677,17.028
"16",20200111,"Tank16",34,8.01031661149749,17.131
"17",20200111,"Tank17",34,7.96322801864346,17.241
"18",20200111,"Tank18",34,7.95873059884344,16.869
"19",20200111,"Tank19",34,7.97378443038267,17.168
"20",20200111,"Tank20",34,7.96699372221284,17.089
