"Sample.Name","pHmean","SE"
"Sump",8.00519961395564,0.00285132309055677
"Tank1",7.82539439513234,0.00518352044846395
"Tank10",7.73053294591015,0.00609658649901023
"Tank11",7.9440959442041,0.00245690495634044
"Tank12",7.95089877867417,0.00146666419187964
"Tank13",7.98421635791478,0.00570184915537029
"Tank14",7.96938412930491,0.00250240971976629
"Tank15",7.94794437005699,0.00703625775855624
"Tank16",7.9550373524979,0.00135170632707405
"Tank17",7.8514538081014,0.00287470570341027
"Tank18",7.81943006654649,0.0115165945838032
"Tank19",7.84944591485581,0.00451482827163035
"Tank2",7.83137120028097,0.00368489332122125
"Tank20",7.78385733945391,0.00821209534773647
"Tank3",7.76566550658554,0.00333654143182781
"Tank4",7.72727158476018,0.00674539748149473
"Tank7",7.74559597568769,0.00654125797221398
"Tank8",7.71980480774831,0.00792140990482986
"Tank9",7.72323026401482,0.00337852216178442
