"Sample.Name","pHmean","SE"
"Sump",8.03467634178651,0.00229784624973945
"Tank1",7.87213823675433,0.00385771208292499
"Tank10",7.79888162856481,0.0039754232929409
"Tank11",7.94822670429921,0.00110962921186469
"Tank12",7.93464796705416,0.000933433245776107
"Tank13",7.92800578290526,0.00049934096819969
"Tank14",7.94408978966139,0.000646157255916799
"Tank15",7.92689128161453,0.00158242236660967
"Tank16",7.92995181031073,0.00102590544157373
"Tank17",7.86646157130569,0.00220764777951672
"Tank18",7.87876369911229,0.0016384379516793
"Tank19",7.86189649008147,0.00285385055177733
"Tank2",7.86280467485351,0.00262121897967411
"Tank20",7.87341105952573,0.00110591069006676
"Tank3",7.82648624305384,0.00288103593069082
"Tank4",7.75028230328673,0.0322287941911868
"Tank7",7.81545251194735,0.00093756262182957
"Tank8",7.81735273393465,0.00217849632957868
"Tank9",7.80221586327291,0.00361156232419238
