Sample.Name,TempInSitu
Sump,15
Tank1,17.7
Tank2,17.6
Tank3,17.4
Tank4,17.5
Tank7,17.6
Tank8,17.3
Tank9,17.9
Tank10,18.1
Tank11,17.5
Tank12,17.8
Tank13,17.8
Tank14,17.8
Tank15,17.8
Tank16,17.8
Tank17,17.7
Tank18,17.8
Tank19,17.5
Tank20,17.6
