"Sample.Name","pHmean","SE"
"Sump",8.04330434050888,0.00180182279700369
"Tank1",7.81040414789005,0.00333013560487568
"Tank10",7.72925366943245,0.00550509379524207
"Tank11",7.98283236123891,0.00727702133938731
"Tank12",7.94304729281507,0.000843299656421263
"Tank13",7.9782418234143,0.00161848444285389
"Tank14",7.98520147493507,0.00126836889283757
"Tank15",7.98192264697033,0.00154924207183034
"Tank16",7.97976686399882,0.0016563265998944
"Tank17",7.84180034939055,0.00200772485726731
"Tank18",7.87136735441822,0.00479243234519232
"Tank19",7.85296823436535,0.00202477725584625
"Tank2",7.80628367291192,0.00322023100617555
"Tank20",7.83719798780391,0.00430601557243251
"Tank3",7.8049123309557,0.00263121883818723
"Tank4",7.73494028965934,0.00575283050575669
"Tank7",7.73092568736353,0.00568160486278613
"Tank8",7.73852239624427,0.0106441017804421
"Tank9",7.71440061477384,0.00749602067811058
