##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0358,0.037,0.0364,0.036,0.0354,0.0398,0.0381,0.0392,0.0385,0.0397,0.0352,,,0.0335,0.0337,0.0329,0.0326,0.0318,0.0368,0.0343,0.0371,0.0356,0.037,0.0317,,,0.0364,0.0362,0.0356,0.0354,0.0338,0.0402,0.0368,0.0405,0.0378,0.04,0.0348
,,,0.038,0.0372,0.0392,0.0403,0.0384,0.0381,0.0359,0.0389,0.0382,0.0374,0.0379,,,0.0348,0.0322,0.0361,0.0375,0.0356,0.0351,0.0327,0.0361,0.0356,0.0343,0.0351,,,0.0373,0.0355,0.039,0.041,0.0379,0.0375,0.0348,0.0396,0.0381,0.0374,0.0368
,,,0.0379,0.0388,0.0382,0.0389,0.0388,0.039,0.0367,0.037,0.0359,0.038,0.037,,,0.0343,0.0354,0.0345,0.0359,0.0358,0.036,0.0334,0.0338,0.032,0.0349,0.0335,,,0.037,0.0379,0.0364,0.0379,0.0385,0.0387,0.0365,0.0358,0.034,0.0373,0.035
,,0.0386,0.0378,0.0385,0.0382,0.0367,0.0384,0.0381,0.0409,,,,,,0.0349,0.0342,0.0347,0.0344,0.0328,0.0349,0.0346,0.0378,,,,,,0.0375,0.0377,0.0383,0.0371,0.0356,0.0376,0.037,0.0419,,,,
,,0.0372,0.0376,0.0363,0.0375,0.0381,0.0379,0.0392,0.0396,,,,,,0.0339,0.034,0.0328,0.0343,0.0347,0.0332,0.0358,0.0364,,,,,,0.0368,0.0364,0.0351,0.0373,0.0377,0.0359,0.0387,0.0399,,,,
,,0.0382,0.0369,0.0365,0.0382,0.0375,0.039,0.0366,0.036,,,,,,0.0362,0.033,0.0327,0.0353,0.0343,0.0357,0.033,0.0329,,,,,,0.0389,0.0353,0.0358,0.0377,0.0369,0.0387,0.0359,0.0363,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0354,0.0361,0.0364,0.035,0.0367,0.0414,0.0378,0.0378,0.0369,0.0372,0.0356,,,0.3684,0.3008,0.2864,0.2931,0.2555,0.2396,0.2452,0.2474,0.2322,0.3343,0.3595,,,0.2736,0.319,0.3066,0.3144,0.3216,0.3027,0.3155,0.3257,0.2896,0.255,0.284
,,,0.0377,0.0364,0.0367,0.0372,0.0362,0.0365,0.036,0.0393,0.0369,0.0363,0.0363,,,0.3906,0.3148,0.2987,0.2973,0.269,0.2578,0.2506,0.25,0.2622,0.3732,0.3506,,,0.2846,0.3214,0.3135,0.3106,0.322,0.313,0.2984,0.3184,0.3269,0.2825,0.2772
,,,0.0363,0.036,0.0371,0.0372,0.0367,0.0368,0.0362,0.036,0.0356,0.0372,0.0358,,,0.3862,0.3074,0.2809,0.3117,0.2758,0.2719,0.2719,0.2654,0.2754,0.4133,0.3569,,,0.2806,0.3202,0.2885,0.3244,0.3253,0.322,0.3086,0.3188,0.3247,0.2896,0.2788
,,0.0361,0.0373,0.0389,0.0372,0.0365,0.0361,0.0363,0.0436,,,,,,0.3806,0.3741,0.3992,0.3827,0.3101,0.3336,0.3246,0.3058,,,,,,0.284,0.2765,0.2983,0.2865,0.3073,0.3158,0.3137,0.3119,,,,
,,0.0361,0.0364,0.0376,0.0363,0.0362,0.0383,0.0374,0.0366,,,,,,0.3912,0.387,0.3667,0.3796,0.3144,0.3289,0.3222,0.3156,,,,,,0.293,0.2854,0.2718,0.2825,0.3055,0.3029,0.3074,0.3089,,,,
,,0.0364,0.0359,0.0355,0.0365,0.0359,0.0366,0.036,0.0361,,,,,,0.3577,0.3291,0.3727,0.3731,0.344,0.3175,0.3136,0.3252,,,,,,0.2646,0.2408,0.2731,0.2742,0.333,0.2846,0.2965,0.315,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_2-12.1_2020; Date Last Saved: 2/12/2020 4:31:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
