##BLOCKS= 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0738,0.0886,0.076,0.0758,0.0752,0.0766,0.0753,0.0762,0.0778,0.0754,0.0875,,,0.4535,0.4289,0.371,0.4023,0.4029,0.441,0.3883,0.4094,0.4459,0.4851,0.4482,,,0.3436,0.3319,0.2851,0.3105,0.3125,0.341,0.303,0.3178,0.3464,0.3709,0.3492
,,,0.0791,0.0734,0.0774,0.0796,0.0754,0.0767,0.0759,0.0757,0.0825,0.0746,0.0749,,,0.3747,0.3969,0.4119,0.4487,0.361,0.4298,0.4812,0.3598,0.4216,0.3938,0.4815,,,0.2881,0.3037,0.3183,0.3468,0.2822,0.3339,0.3709,0.2813,0.3287,0.3051,0.3683
,,,0.0767,0.0815,0.0759,0.0756,0.0765,0.0759,0.076,0.0775,0.077,0.076,0.0923,,,0.4315,0.3672,0.4298,0.4412,0.4485,0.4384,0.3907,0.4388,0.4878,0.4251,0.4083,,,0.3306,0.286,0.3307,0.3385,0.3522,0.3365,0.3056,0.342,0.3767,0.3274,0.3213
,,0.079,0.0814,0.0755,0.0765,,,,,,,,,,0.4509,0.4595,0.44,0.426,,,,,,,,,,0.3416,0.3522,0.3361,0.328,,,,,,,,
,,0.0818,0.0775,0.0756,0.076,,,,,,,,,,0.4555,0.4167,0.4408,0.4544,,,,,,,,,,0.3497,0.3215,0.3371,0.3481,,,,,,,,
,,0.0765,0.0753,0.0757,0.0754,,,,,,,,,,0.3874,0.4745,0.4746,0.4551,,,,,,,,,,0.2964,0.3591,0.3617,0.3512,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Dellinger_07142022_Plate; Date Last Saved: 7/14/2022 12:23:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Tris1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Tris1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
