"Sample.Name","pHmean","SE"
"Sump",7.81412473143932,0.00425851188356961
"Tank1",7.64058090681035,0.00461764840580923
"Tank10",7.63447162722858,0.00465650584792834
"Tank11",7.80782912772416,0.00168866616018388
"Tank12",7.79556549888153,0.00266970400117113
"Tank13",7.7691095164074,0.00190072050927577
"Tank14",7.8148147189024,0.00189775029020539
"Tank15",7.7753973775801,0.00222247258535981
"Tank16",7.80216115085257,0.00241609510442661
"Tank17",7.68968792383049,0.00343360394745073
"Tank18",7.70471511967129,0.00122378062523004
"Tank19",7.68000024526994,0.00162894747121424
"Tank2",7.59568937822966,0.00255597489590195
"Tank3",7.63203243990986,0.00527858676926986
"Tank4",7.61091783642607,0.00625960252931826
"Tank7",7.59928375696953,0.00997324534818198
"Tank8",7.60366786974112,0.0053939976761467
"Tank9",7.59088071019068,0.00885260438602092
