Sample.Name,pHmean,SE,,,,
Sump,7.832032369,0.004256281,,,,
Tank1,7.658567175,0.004615841,,,,
Tank10,7.652460269,0.004654694,,,,Temp:26 Sal:33.3
Tank11,7.825740113,0.001687785,,,,
Tank12,7.813482792,0.002668349,,,,
Tank13,7.787039968,0.001899797,,,,
Tank14,7.832722036,0.001896745,,,,
Tank15,7.793324759,0.002221379,,,,
Tank16,7.820075067,0.002414853,,,,
Tank17,7.707654278,0.003432154,,,,
Tank18,7.722675073,0.00122325,,,,
Tank19,7.697970675,0.001628269,,,,
Tank2,7.613692633,0.002555038,,,,
Tank3,7.650022014,0.005276548,,,,
Tank4,7.628915409,0.006257276,,,,
Tank7,7.617285549,0.009969548,,,,
Tank8,7.621668154,0.005391995,,,,
Tank9,7.60888561,0.00884936,,,,
