##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,6,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26,,0.0362,0.0347,0.0369,0.0366,0.0354,0.0369,0.035,0.0355,0.036,0.0371,0.0362,,,0.0325,0.0317,0.0338,0.0328,0.0324,0.0334,0.0324,0.0324,0.0335,0.0357,0.0348,,,0.0353,0.0348,0.0366,0.0357,0.0349,0.0353,0.036,0.0356,0.0359,0.0374,0.0371
,,,0.036,0.0343,0.0359,0.0343,0.0359,0.0342,0.035,0.0375,0.0347,0.0359,0.0342,,,0.0323,0.0308,0.0328,0.0316,0.0324,0.0304,0.0318,0.0344,0.0323,0.0336,0.0315,,,0.035,0.0333,0.0354,0.0351,0.0354,0.0328,0.0347,0.0373,0.0343,0.0362,0.0331
,,,0.0358,0.0352,0.0356,0.035,0.0359,0.0346,0.0347,0.0352,0.0354,0.0356,0.0362,,,0.0327,0.032,0.0325,0.0313,0.0322,0.0319,0.0316,0.0322,0.0325,0.0331,0.0341,,,0.0357,0.0351,0.0348,0.0338,0.0346,0.0354,0.0342,0.0349,0.0346,0.0352,0.036
,,0.0349,0.0364,0.0356,0.0345,0.0365,0.0346,0.0349,,,,,,,0.0317,0.0333,0.033,0.0313,0.0326,0.031,0.0321,,,,,,,0.0345,0.0375,0.0366,0.034,0.0352,0.0336,0.0354,,,,,
,,0.0353,0.0352,0.0335,0.0362,0.0354,0.0351,0.0352,,,,,,,0.0322,0.0319,0.0296,0.0329,0.032,0.0317,0.032,,,,,,,0.0351,0.0339,0.0316,0.0362,0.0346,0.0347,0.0348,,,,,
,,0.0344,0.0362,0.0354,0.0348,0.0352,0.0346,0.0419,,,,,,,0.0312,0.0335,0.0319,0.0318,0.0321,0.0304,0.0397,,,,,,,0.0334,0.0363,0.0344,0.0343,0.035,0.0326,0.0414,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,6,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26.5,,0.0354,0.0348,0.0356,0.035,0.0351,0.0363,0.035,0.0355,0.0358,0.0369,0.0364,,,0.3218,0.2739,0.2482,0.2741,0.2451,0.2504,0.2508,0.2419,0.2569,0.3467,0.3526,,,0.261,0.3163,0.3103,0.3238,0.3058,0.3225,0.3142,0.3158,0.2974,0.2759,0.2842
,,,0.0354,0.0359,0.0353,0.0342,0.0359,0.0344,0.0349,0.0377,0.0354,0.0347,0.0344,,,0.3403,0.2684,0.2472,0.2706,0.2637,0.2398,0.2514,0.2494,0.262,0.3323,0.3317,,,0.2637,0.3023,0.3061,0.3112,0.3055,0.2984,0.3076,0.3159,0.3011,0.2672,0.2745
,,,0.0357,0.036,0.0354,0.035,0.0354,0.0347,0.0351,0.0352,0.0351,0.0357,0.0346,,,0.3625,0.3004,0.2449,0.2813,0.2677,0.2562,0.2676,0.2453,0.2777,0.3421,0.3331,,,0.2806,0.3273,0.2961,0.3104,0.3156,0.2933,0.3127,0.2869,0.3047,0.2691,0.2693
,,0.0354,0.0363,0.035,0.035,0.0359,0.0344,0.0344,,,,,,,0.2666,0.3259,0.3039,0.3237,0.2741,0.2838,0.2861,,,,,,,0.2333,0.2604,0.256,0.2652,0.2836,0.2806,0.2985,,,,,
,,0.035,0.0352,0.0339,0.0354,0.035,0.0346,0.0354,,,,,,,0.2509,0.3263,0.37,0.386,0.2891,0.3048,0.2972,,,,,,,0.2184,0.2568,0.3155,0.3084,0.2931,0.3001,0.3087,,,,,
,,0.0351,0.0362,0.0358,0.0346,0.035,0.0347,0.0412,,,,,,,0.3939,0.3534,0.3455,0.336,0.2944,0.2861,0.3078,,,,,,,0.3326,0.2741,0.2945,0.2673,0.2921,0.2783,0.3133,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_1-29-2020; Date Last Saved: 1/29/2020 6:16:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
