"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","02",0.0362,0.0325,0.0353,0.0354,0.3218,0.261,"A02",1.28079470198675,1.36311857417219,7.81728877999419,8.09149162219381,3.38877990613658,2020-01-30,"Sump",14.809
"A","03",0.0347,0.0317,0.0348,0.0348,0.2739,0.3163,"A03",0.860341151385927,0.943917764925373,7.64583631997295,8.09149162219381,5.50770269598371,2020-01-30,"Tank1",16.985
"A","04",0.0369,0.0338,0.0366,0.0356,0.2482,0.3103,"A04",0.784363636363636,0.868166624909091,7.60730908311049,8.09149162219381,5.98384774638184,2020-01-30,"Tank2",16.949
"A","05",0.0366,0.0328,0.0357,0.035,0.2741,0.3238,"A05",0.838453572661374,0.922095400241629,7.63504832940438,8.09149162219381,5.64102781170132,2020-01-30,"Tank3",16.995
"A","06",0.0354,0.0324,0.0349,0.0351,0.2451,0.3058,"A06",0.785398230088495,0.869198136061947,7.60785489977694,8.09149162219381,5.97710218336414,2020-01-30,"Tank4",17.005
"A","07",0.0369,0.0334,0.0353,0.0363,0.2504,0.3225,"A07",0.756080611535789,0.839967869353718,7.59214274635112,8.09149162219381,6.1712833573609,2020-01-30,"Tank7",16.978
"A","08",0.035,0.0324,0.036,0.035,0.2508,0.3142,"A08",0.785046728971963,0.868847682242991,7.60766952907409,8.09149162219381,5.97939311699552,2020-01-30,"Tank8",17.054
"A","09",0.0355,0.0324,0.0356,0.0355,0.2419,0.3158,"A09",0.74768022840828,0.831592515167737,7.58754430659953,8.09149162219381,6.2281139142754,2020-01-30,"Tank9",17.084
"A","10",0.036,0.0335,0.0359,0.0358,0.2569,0.2974,"A10",0.854413450515858,0.938007725640046,7.64293825576239,8.09149162219381,5.54351888842227,2020-01-30,"Tank10",17.073
"A","11",0.0371,0.0357,0.0374,0.0369,0.3467,0.2759,"A11",1.30372852953498,1.38598407038123,7.82515391019643,8.09149162219381,3.29157743013484,2020-01-30,"Tank11",17.01
"A","12",0.0362,0.0348,0.0371,0.0364,0.3526,0.2842,"A12",1.28635074929121,1.3686580672337,7.8192052966252,8.09149162219381,3.36509432725326,2020-01-30,"Tank12",17.082
"B","02",0.036,0.0323,0.035,0.0354,0.3403,0.2637,"B02",1.34583515045792,1.42796523462713,7.83928903853804,8.09149162219381,3.11688617416369,2020-01-30,"Sump",14.809
"B","03",0.0343,0.0308,0.0333,0.0359,0.2684,0.3023,"B03",0.882572924457741,0.96608329842932,7.65655418211585,8.09149162219381,5.37524427368854,2020-01-30,"Tank1",16.985
"B","04",0.0359,0.0328,0.0354,0.0353,0.2472,0.3061,"B04",0.792480648728345,0.876259452635459,7.61157482276758,8.09149162219381,5.93112891706999,2020-01-30,"Tank2",16.949
"B","05",0.0343,0.0316,0.0351,0.0342,0.2706,0.3112,"B05",0.865677045619117,0.949237760861694,7.64843035063265,8.09149162219381,5.47564395105978,2020-01-30,"Tank3",16.995
"B","06",0.0359,0.0324,0.0354,0.0359,0.2637,0.3055,"B06",0.856349500185117,0.939938006849315,7.6438866966326,8.09149162219381,5.53179742945667,2020-01-30,"Tank4",17.005
"B","07",0.0342,0.0304,0.0328,0.0344,0.2398,0.2984,"B07",0.788244159758854,0.872035586284853,7.60935313182523,8.09149162219381,5.95858604173982,2020-01-30,"Tank7",16.978
"B","08",0.035,0.0318,0.0347,0.0349,0.2514,0.3076,"B08",0.804761904761905,0.888504116666667,7.61795806200822,8.09149162219381,5.85224062874587,2020-01-30,"Tank8",17.054
"B","09",0.0375,0.0344,0.0373,0.0377,0.2494,0.3159,"B09",0.771551724137931,0.855392885775862,7.60049813487682,8.09149162219381,6.06802194505488,2020-01-30,"Tank9",17.084
"B","10",0.0347,0.0323,0.0343,0.0354,0.262,0.3011,"B10",0.860578729800827,0.944154635475385,7.64595211300243,8.09149162219381,5.50627164921403,2020-01-30,"Tank10",17.073
"B","11",0.0359,0.0336,0.0362,0.0347,0.3323,0.2672,"B11",1.29155900086133,1.37385080081826,7.82099537379969,8.09149162219381,3.34297137071973,2020-01-30,"Tank11",17.01
"B","12",0.0342,0.0315,0.0331,0.0344,0.3317,0.2745,"B12",1.24378109452736,1.32621524875622,7.80433500579727,8.09149162219381,3.54887120699623,2020-01-30,"Tank12",17.082
"C","02",0.0358,0.0327,0.0357,0.0357,0.3625,0.2806,"C02",1.3465306122449,1.42865862428571,7.83951928906472,8.09149162219381,3.11404058601471,2020-01-30,"Sump",14.809
"C","03",0.0352,0.032,0.0351,0.036,0.3004,0.3273,"C03",0.918325326012354,1.0017291757035,7.67331102248121,8.09149162219381,5.16815216820591,2020-01-30,"Tank1",16.985
"C","04",0.0356,0.0325,0.0348,0.0354,0.2449,0.2961,"C04",0.813001912045889,0.896719572848949,7.62219399245034,8.09149162219381,5.79989020140936,2020-01-30,"Tank2",16.949
"C","05",0.035,0.0313,0.0338,0.035,0.2813,0.3104,"C05",0.903832248734635,0.98727928054953,7.6665873606335,8.09149162219381,5.25124762404575,2020-01-30,"Tank3",16.995
"C","06",0.0359,0.0322,0.0346,0.0354,0.2677,0.3156,"C06",0.838365896980462,0.922007985790409,7.63500462959341,8.09149162219381,5.6415678828404,2020-01-30,"Tank4",17.005
"C","07",0.0346,0.0319,0.0354,0.0347,0.2562,0.2933,"C07",0.86966640806827,0.953215237005431,7.65036076845878,8.09149162219381,5.45178657202181,2020-01-30,"Tank7",16.978
"C","08",0.0347,0.0316,0.0342,0.0351,0.2676,0.3127,"C08",0.84717727436174,0.93079310967278,7.63937687041214,8.09149162219381,5.58753284180121,2020-01-30,"Tank8",17.054
"C","09",0.0352,0.0322,0.0349,0.0352,0.2453,0.2869,"C09",0.845634920634921,0.929255351388889,7.63861438869379,8.09149162219381,5.59695609469388,2020-01-30,"Tank9",17.084
"C","10",0.0354,0.0325,0.0346,0.0351,0.2777,0.3047,"C10",0.907914201183432,0.991349070821006,7.66849043898244,8.09149162219381,5.22772812433181,2020-01-30,"Tank10",17.073
"C","11",0.0356,0.0331,0.0352,0.0357,0.3421,0.2691,"C11",1.32121471343028,1.40341815419162,7.83107105570848,8.09149162219381,3.2184494360847,2020-01-30,"Tank11",17.01
"C","12",0.0362,0.0341,0.036,0.0346,0.3331,0.2693,"C12",1.27969348659004,1.36202063984674,7.81690807305451,8.09149162219381,3.39348493405295,2020-01-30,"Tank12",17.082
"D","01",0.0349,0.0317,0.0345,0.0354,0.2666,0.2333,"D01",1.18204740292486,1.26466549268785,7.78197015117691,8.09149162219381,3.82527085819297,2020-01-30,"Tank13",17.015
"D","02",0.0364,0.0333,0.0375,0.0363,0.3259,0.2604,"D02",1.31255605381166,1.39478529304933,7.82814954298861,8.09149162219381,3.25455542069515,2020-01-30,"Tank14",17.015
"D","03",0.0356,0.033,0.0366,0.035,0.3039,0.256,"D03",1.23409090909091,1.31655393522727,7.80088879749444,8.09149162219381,3.59146172631866,2020-01-30,"Tank15",16.91
"D","04",0.0345,0.0313,0.034,0.035,0.3237,0.2652,"D04",1.26527958387516,1.34764968335501,7.81189873582872,8.09149162219381,3.45539363345821,2020-01-30,"Tank16",17.217
"D","05",0.0365,0.0326,0.0352,0.0359,0.2741,0.2836,"D05",0.972289156626506,1.05553222108434,7.69756540606898,8.09149162219381,4.86840046950494,2020-01-30,"Tank17",17.091
"D","06",0.0346,0.031,0.0336,0.0344,0.2838,0.2806,"D06",1.02346278317152,1.10655337580906,7.71951301399989,8.09149162219381,4.59715742859628,2020-01-30,"Tank18",16.918
"D","07",0.0349,0.0321,0.0354,0.0344,0.2861,0.2985,"D07",0.965477996965099,1.04874135527314,7.69456925555058,8.09149162219381,4.90542887734733,2020-01-30,"Tank19",16.955
"E","01",0.0353,0.0322,0.0351,0.035,0.2509,0.2184,"E01",1.19281045751634,1.27539647875817,7.78594089975314,8.09149162219381,3.77619772357657,2020-01-30,"Tank13",17.015
