daterun,TempInLab,pH_in_lab,pHtris,pHtris_error,TempInSitu,pHinsitu,Project Lead,Notes
1/9/20,25,8.099445831,8.093549094,0.07285724,22,8.145122005,Katie Hannibal,Updated data using KH mcresol slope and intercept
1/9/20,25,8.039557717,8.093549094,0.667091487,22,8.084926901,Katie Hannibal,Dye_slope: 0.6121
1/9/20,25,8.102099307,8.093549094,0.10564232,22,8.147788512,Katie Hannibal,Dye_intercept: 31.397
1/10/20,25,8.157747128,8.093549094,0.793200033,22,8.20370181,Katie Hannibal,
1/10/20,25,8.157635871,8.093549094,0.791825387,22,8.203590034,Katie Hannibal,
1/10/20,25,8.154461908,8.093549094,0.752609432,22,8.200401252,Katie Hannibal,
