"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","01",0.0358,0.0327,0.0361,0.0356,0.5048,0.2193,"A01",2.5752453653217,2.65371242175573,8.14424888688638,8.09008870581408,0.669463377247907,2020-01-31,"Tris",25,8.14424888688638
"A","01",0.0358,0.0327,0.0361,0.0356,0.5048,0.2193,"A01",2.5752453653217,2.65371242175573,8.14424888688638,8.09008870581408,0.669463377247907,2020-01-31,"Tris",25,8.14424888688638
"A","01",0.0358,0.0327,0.0361,0.0356,0.5048,0.2193,"A01",2.5752453653217,2.65371242175573,8.14424888688638,8.09008870581408,0.669463377247907,2020-01-31,"Tris",25,8.14424888688638
"B","01",0.0348,0.0302,0.0326,0.0351,0.5402,0.2312,"B01",2.57034795763994,2.64882960590015,8.14330609048391,8.09008870581408,0.65780965580245,2020-01-31,"Tris",25,8.14330609048391
"B","01",0.0348,0.0302,0.0326,0.0351,0.5402,0.2312,"B01",2.57034795763994,2.64882960590015,8.14330609048391,8.09008870581408,0.65780965580245,2020-01-31,"Tris",25,8.14330609048391
"B","01",0.0348,0.0302,0.0326,0.0351,0.5402,0.2312,"B01",2.57034795763994,2.64882960590015,8.14330609048391,8.09008870581408,0.65780965580245,2020-01-31,"Tris",25,8.14330609048391
"C","01",0.0323,0.0314,0.0346,0.0321,0.5494,0.2336,"C01",2.60140562248996,2.67979473443775,8.1492608791851,8.09008870581408,0.731415631184538,2020-01-31,"Tris",25,8.1492608791851
"C","01",0.0323,0.0314,0.0346,0.0321,0.5494,0.2336,"C01",2.60140562248996,2.67979473443775,8.1492608791851,8.09008870581408,0.731415631184538,2020-01-31,"Tris",25,8.1492608791851
"C","01",0.0323,0.0314,0.0346,0.0321,0.5494,0.2336,"C01",2.60140562248996,2.67979473443775,8.1492608791851,8.09008870581408,0.731415631184538,2020-01-31,"Tris",25,8.1492608791851
