Sample.Name,pHmean,SE
Sump,7.810496799,0.001343614
Tank1,7.774976113,0.001579767
Tank2,7.774973588,0.001044056
Tank3,7.699231974,0.00126398
Tank4,7.700461,0.00143622
Tank7,7.713539726,0.00259179
Tank8,7.7048831,0.003103947
Tank9,7.6993019,0.002960809
Tank10,7.705475353,0.002819985
Tank11,7.882273142,0.001208177
Tank12,7.900654721,0.000800049
Tank13,7.892334536,0.000472781
Tank14,7.894167951,0.00088328
Tank15,7.902717205,0.001069202
Tank16,7.89180698,0.000750577
Tank17,7.791729394,0.001960933
Tank18,7.810996951,0.001153026
Tank19,7.796011862,0.001673284
Tank20,7.798541448,0.002132368
