"Sample.Name","pHmean","SE"
"Sump",8.0308791425506,0.00251631660733115
"Tank1",7.79872712702025,0.00529942273950708
"Tank10",7.70737198139556,0.00691808294554662
"Tank11",7.94427046204208,0.0016962577415139
"Tank12",7.92974062541939,0.00520196766545625
"Tank13",7.96985424614522,0.0022443459038903
"Tank14",7.96204965279179,0.00206295462258932
"Tank15",7.96903690379017,0.00204977624575712
"Tank16",7.9554240943152,0.00021789943048046
"Tank17",7.83548519091751,0.00290461750364777
"Tank18",7.84435021498996,0.00258996950000737
"Tank19",7.84207599823857,0.00266788343856738
"Tank2",7.8074885359552,0.00599902667163297
"Tank20",7.79740481574653,0.00346127215464547
"Tank3",7.78143888393305,0.0050051161884641
"Tank4",7.72331598236296,0.00643677031944342
"Tank7",7.72276296933849,0.00481407469346903
"Tank8",7.72157087317722,0.00508945255710969
"Tank9",7.69493753072913,0.00948864269899571
