Sample.Name,TempInSitu
Sump,13.7
Tank1,17
Tank2,17
Tank3,17
Tank4,17.2
Tank7,17
Tank8,17
Tank9,17
Tank10,16.9
Tank11,17
Tank12,17
Tank13,17
Tank14,17
Tank15,17
Tank16,17
Tank17,17
Tank18,17
Tank19,17
Tank20,17.1
