"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0348,0.0321,0.0342,0.035,0.5316,0.224,"A02",2.6334388185654,2.71173248760549,8.17191641052931,8.13528890462643,0.450229934453287,2020-04-06,"T23",23.6,8.17191641052931
"B","02",0.0346,0.0316,0.0346,0.0348,0.5127,0.2154,"B02",2.66279069767442,2.7409969127907,8.1774333399367,8.13528890462643,0.518044728396859,2020-04-06,"T23",23.6,8.1774333399367
"C","02",0.035,0.0326,0.0348,0.0353,0.5375,0.2245,"C02",2.66420274551214,2.74240475343189,8.17769752579087,8.13528890462643,0.521292134325173,2020-04-06,"T23",23.6,8.17769752579087
