##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0388,0.046,0.0351,0.0352,0.0356,0.0351,0.0353,0.0371,0.0369,0.0406,0.0349,,,0.0364,0.0438,0.0315,0.0312,0.0334,0.032,0.0325,0.0341,0.034,0.0373,0.033,,,0.0384,0.0475,0.0338,0.0332,0.036,0.0359,0.0368,0.0374,0.0388,0.0425,0.0368
,,,0.0356,0.035,0.035,0.0359,0.0354,0.0343,0.0362,0.0351,0.0364,0.0359,0.0364,,,0.0325,0.0317,0.0317,0.0329,0.0326,0.0306,0.0332,0.0319,0.0328,0.0328,0.0335,,,0.0344,0.0348,0.035,0.0362,0.0366,0.0338,0.0375,0.0362,0.0378,0.037,0.0377
,,,0.037,0.0352,0.0357,0.0366,0.0361,0.0365,0.0414,0.0381,0.0361,0.0348,0.0348,,,0.0338,0.0315,0.0324,0.0336,0.033,0.0327,0.039,0.0352,0.0322,0.0332,0.0322,,,0.0361,0.0347,0.0357,0.0383,0.0354,0.0356,0.043,0.0387,0.0353,0.0372,0.0366
,,0.0366,0.0349,0.037,0.0355,0.037,0.0375,0.0378,0.0361,,,,,,0.0336,0.0313,0.0338,0.0322,0.0343,0.0347,0.035,0.0329,,,,,,0.0367,0.0344,0.0374,0.0359,0.0379,0.0378,0.0393,0.0364,,,,
,,0.0462,0.0355,0.0398,0.0379,0.0346,0.0375,0.037,0.0357,,,,,,0.0429,0.0318,0.0418,0.0349,0.0313,0.0345,0.0343,0.0325,,,,,,0.0459,0.0338,0.0458,0.0382,0.0352,0.0381,0.0386,0.036,,,,
,,0.0356,0.0348,0.0378,0.0368,0.0355,0.0363,0.0376,0.0378,,,,,,0.0324,0.0316,0.0355,0.0335,0.0323,0.0331,0.0345,0.0345,,,,,,0.0349,0.0354,0.0391,0.0375,0.0363,0.0366,0.039,0.0383,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
