Sample.Name,TempInSitu
Sump,17
Tank1,17.044
Tank2,16.92
Tank3,16.94
Tank4,17.03
Tank7,16.93
Tank8,17.04
Tank9,16.96
Tank10,17.07
Tank11,16.97
Tank12,17.12
Tank13,16.93
Tank14,16.93
Tank15,16.9
Tank16,17.2
Tank17,16.93
Tank18,16.95
Tank19,16.94
Tank20,16.98
