"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","01",0.0347,0.0311,0.0327,0.0348,0.5424,0.2372,"A01",2.50097847358121,2.57966680821918,8.1297949247842,8.09008870581408,0.490800786171625,2020-02-06,"Tris",25,8.1297949247842
"A","01",0.0347,0.0311,0.0327,0.0348,0.5424,0.2372,"A01",2.50097847358121,2.57966680821918,8.1297949247842,8.09008870581408,0.490800786171625,2020-02-06,"Tris",25,8.1297949247842
"A","01",0.0347,0.0311,0.0327,0.0348,0.5424,0.2372,"A01",2.50097847358121,2.57966680821918,8.1297949247842,8.09008870581408,0.490800786171625,2020-02-06,"Tris",25,8.1297949247842
"B","01",0.0344,0.0309,0.0328,0.0349,0.5568,0.2406,"B01",2.53449107573565,2.61307955957549,8.13635919813966,8.09008870581408,0.571940481843226,2020-02-06,"Tris",25,8.13635919813966
"B","01",0.0344,0.0309,0.0328,0.0349,0.5568,0.2406,"B01",2.53449107573565,2.61307955957549,8.13635919813966,8.09008870581408,0.571940481843226,2020-02-06,"Tris",25,8.13635919813966
"B","01",0.0344,0.0309,0.0328,0.0349,0.5568,0.2406,"B01",2.53449107573565,2.61307955957549,8.13635919813966,8.09008870581408,0.571940481843226,2020-02-06,"Tris",25,8.13635919813966
"C","01",0.0359,0.0328,0.0369,0.0348,0.553,0.2388,"C01",2.5679802955665,2.64646899827586,8.14284977889839,8.09008870581408,0.652169277777952,2020-02-06,"Tris",25,8.14284977889839
"C","01",0.0359,0.0328,0.0369,0.0348,0.553,0.2388,"C01",2.5679802955665,2.64646899827586,8.14284977889839,8.09008870581408,0.652169277777952,2020-02-06,"Tris",25,8.14284977889839
"C","01",0.0359,0.0328,0.0369,0.0348,0.553,0.2388,"C01",2.5679802955665,2.64646899827586,8.14284977889839,8.09008870581408,0.652169277777952,2020-02-06,"Tris",25,8.14284977889839
