Sample.Name,pHmean,SE
Sump,8.000472062,0.002647482
Tank1,7.824859803,0.002595844
Tank10,7.726481571,0.005823677
Tank11,7.948716135,0.000628013
Tank12,7.950681461,0.000736244
Tank13,7.950023404,0.000397681
Tank14,7.950885438,0.004562353
Tank15,7.948218844,0.00173139
Tank16,7.945014421,0.00060275
Tank17,7.841766174,0.001634986
Tank18,7.866493997,0.000638427
Tank19,7.866868185,0.00161857
Tank2,7.81007451,0.004052496
Tank20,7.812133566,0.002677536
Tank3,7.717737821,0.005016413
Tank4,7.726826409,0.007061788
Tank7,7.731224658,0.003851311
Tank8,7.721720287,0.005789022
Tank9,7.723874791,0.007329732
