Temperature,Rows,Well.Location,Column,WL750,WL664,WL647,WL630,WL449,Sample.Name
24,A,A01,01,-0.067,0.194133333,0,-0.074433333,0,PBlank
24,A,A02,02,-0.0047,-0.097066667,0,-0.074433333,0,PBlank
24,A,A03,03,0.0717,-0.097066667,0,0.148866667,0,PBlank
24,A,A04,04,-0.0844,0.111233333,0,0.048866667,0,H5_2
24,A,A05,05,0.1381,-0.097066667,0,-0.074433333,0.0656,H5_2
24,A,A06,06,-0.1442,-0.097066667,0,0.069566667,0,H5_2
24,A,A07,07,-0.1478,-0.097066667,0,0.183866667,0.0972,H6_1
24,A,A08,08,-0.1914,-0.097066667,0.1073,0.064666667,0,H6_1
24,A,A09,09,0.0855,-0.097066667,0,-0.074433333,0,H6_1
24,A,A10,10,-0.1559,-0.097066667,0,0.11006666700000001,0,H6_2
24,A,A11,11,-0.1501,-0.008366667,0,-0.020033333,0.0685,H6_2
24,A,A12,12,-0.0866,-0.097066667,0,-0.074433333,0.1659,H6_2
24,B,B01,01,0.0805,-0.053166667,0.1985,0.013566667,0.0528,L6_1
24,B,B02,02,-0.1275,-0.097066667,0,-0.074433333,0.0727,L6_1
24,B,B03,03,-0.1914,0.190733333,0,-0.074433333,0.1333,L6_1
24,B,B04,04,-0.1845,-0.097066667,0,-0.074433333,0,L6_2
24,B,B05,05,-0.1914,-0.032466667,0,-0.074433333,0.0206,L6_2
24,B,B06,06,-0.0806,-0.097066667,0,-0.074433333,0.0699,L6_2
24,B,B07,07,-0.1421,-0.030666667,0.0222,-0.074433333,0,C7_1
24,B,B08,08,-0.1914,0.001133333,0,0.093166667,0,C7_1
24,B,B09,09,-0.1914,-0.097066667,0,0.129366667,0,C7_1
24,B,B10,10,-0.037,-0.097066667,0,0.087866667,0,C7_2
24,B,B11,11,-0.1506,-0.007366667,0,-0.041133333,0,C7_2
24,B,B12,12,-0.1914,0.226733333,0,0.175566667,0.136,C7_2
24,C,C01,01,-0.1532,-0.097066667,0,-0.057933333,0,C8_1
