"Sample.Name","pHmean","SE"
"Sump",8.03748562583358,0.00104321340712738
"Tank1",7.76698786846619,0.00509982416383827
"Tank10",7.74935521454985,0.0100309715306858
"Tank11",7.9760432504749,0.000422648538085648
"Tank12",7.95539055491662,0.0090753666978424
"Tank13",7.97010116737562,0.00176166493541703
"Tank14",7.96789287692211,0.00110972275723416
"Tank15",7.96942803687398,0.000603244711174994
"Tank16",7.96285070706757,0.0012404723127451
"Tank17",7.8400593274395,0.00140713007392501
"Tank18",7.80051462992514,0.0031962218354709
"Tank19",7.80945611690794,0.00127303424667003
"Tank2",7.79277042950855,0.00315521336503108
"Tank20",7.80137612816135,0.00233479389877785
"Tank3",7.73480334468182,0.00416139635716896
"Tank4",7.76176518528701,0.00179945868078962
"Tank7",7.74420861732998,0.0113551223225186
"Tank8",7.75014871091164,0.0044769484107374
"Tank9",7.75756610858723,0.00622211615060636
