##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,TimeFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,5,750 664 647 630 449 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,24,-0.067,-0.0047,0.0717,-0.0844,0.1381,-0.1442,-0.1478,-0.1914,0.0855,-0.1559,-0.1501,-0.0866,0.0805,-0.1275,-0.1914,-0.1845,-0.1914,-0.0806,-0.1421,-0.1914,-0.1914,-0.037,-0.1506,-0.1914,-0.1532,-0.1565,-0.0274,-0.1845,-0.0389,0.0576,-0.1509,-0.1017,0.0206,0.3163,-0.1499,-0.1491,0.0779,-0.1364,-0.011,-0.1485,0.1227,-0.1514,-0.1914,-0.1583,-0.0652,-0.1914,-0.1471,0.1597,-0.1437,0.0916,-0.0842,0.0722,-0.1557,-0.1588,-0.1432,-0.1914,-0.1566,-0.1587,-0.1914,-0.1558,-0.1914,-0.1097,-0.141,-0.0819,-0.1472,0.3861,-0.1914,0.0302,-0.1413,-0.1914,-0.1416,0.152,-0.1387,0.0277,-0.1423,-0.1914,-0.1454,-0.1454,-0.0899,-0.1902,0.1887,-0.1423,-0.1824,-0.1403,-0.1595,-0.1547,-0.1569,-0.1451,0.0982,-0.1623,-0.1507,-0.0842,-0.152,-0.1914,-0.0862,-0.1914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0.194133333,-0.097066667,-0.097066667,0.111233333,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.008366667,-0.097066667,-0.053166667,-0.097066667,0.190733333,-0.097066667,-0.032466667,-0.097066667,-0.030666667,0.001133333,-0.097066667,-0.097066667,-0.007366667,0.226733333,-0.097066667,0.017533333,-0.081166667,-0.097066667,0.212633333,-0.097066667,-0.097066667,0.176133333,0.079133333,0.083233333,-0.097066667,-0.097066667,0.058833333,0.246033333,-0.097066667,-0.097066667,-0.094566667,0.247333333,-0.097066667,-0.097066667,-0.097066667,-0.021366667,-0.097066667,-0.097066667,-0.052766667,-0.097066667,-0.097066667,-0.097066667,0.246933333,-0.097066667,0.121933333,0.147733333,-0.029466667,-0.023266667,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.097066667,0.351633333,0.135033333,-0.097066667,-0.070366667,0.036733333,-0.097066667,-0.052866667,-0.097066667,-0.097066667,-0.097066667,-0.091166667,-0.097066667,-0.097066667,-0.047666667,-0.097066667,-0.097066667,-0.052966667,-0.097066667,-0.097066667,0.018633333,-0.049266667,-0.097066667,0.221633333,-0.097066667,0.042733333,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.097066667,-0.085466667,-0.097066667,-0.097066667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0,0,0,0,0,0,0,0.1073,0,0,0,0,0.1985,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0.0959,0.0322,0,0,0,0.006,0.0195,0,0,0,0,0,0.024,0,0,0,0.0124,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0.1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1399,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,-0.074433333,-0.074433333,0.148866667,0.048866667,-0.074433333,0.069566667,0.183866667,0.064666667,-0.074433333,0.110066667,-0.020033333,-0.074433333,0.013566667,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,0.093166667,0.129366667,0.087866667,-0.041133333,0.175566667,-0.057933333,0.183666667,-0.000733333,-0.074433333,-0.074433333,0.079866667,-0.074433333,-0.074433333,0.023566667,0.093366667,-0.041733333,-0.074433333,0.157566667,-0.074433333,-0.012033333,0.020066667,0.223966667,0.202666667,0.122566667,0.310366667,0.052766667,0.100766667,-0.074433333,0.012966667,-0.058133333,-0.074433333,0.166066667,-0.074433333,-0.074433333,0.203666667,-0.074433333,-0.074433333,-0.042133333,-0.074433333,0.056666667,-0.074433333,-0.074433333,-0.074433333,0.005466667,-0.074433333,-0.002433333,0.028966667,-0.074433333,-0.074433333,-0.042033333,-0.065033333,-0.009133333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.074433333,-0.007133333,-0.013033333,0.133566667,-0.074433333,-0.074433333,0.143366667,-0.074433333,-0.074433333,-0.074433333,0.086566667,-0.074433333,-0.074433333,-0.005033333,-0.074433333,-0.074433333,0.328266667,-0.074433333,0.278566667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0,0,0,0,0.0656,0,0.0972,0,0,0,0.0685,0.1659,0.0528,0.0727,0.1333,0,0.0206,0.0699,0,0,0,0,0,0.136,0,0.2505,0,0.1947,0.2458,0,0,0,0,0,0,0,0,0,0,0.0997,0,0,0,0,0,0,0,0,0.0135,0.0616,0,0,0,0,0,0,0,0.1571,0,0.2065,0,0,0,0,0,0,0,0,0.1383,0.168,0.1952,0,0,0,0,0,0,0,0.0679,0.0433,0.0272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
