##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate3,1.3,TimeFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,5,750 664 647 630 449 ,4,9,96,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,23.5,,,,0.023433333,-0.201666667,-0.201666667,-0.121966667,-0.201666667,-0.091366667,-0.185766667,-0.191466667,-0.201666667,-0.201666667,-0.201666667,-0.127066667,-0.009866667,-0.062366667,-0.201666667,0.007133333,-0.201666667,-0.092466667,-0.201666667,-0.201666667,-0.201666667,-0.141266667,0.506733333,-0.130266667,-0.201666667,-0.201666667,-0.201666667,0.489733333,-0.201666667,0.022733333,-0.201666667,0.506433333,-0.124066667,0.365933333,-0.201666667,-0.129866667,-0.201666667,0.448033333,0.643333333,-0.201666667,0.629733333,-0.201666667,-0.201666667,-0.154166667,0.058333333,0.007633333,-0.201666667,-0.137066667,-0.150066667,0.333733333,-0.201666667,-0.089066667,-0.201666667,-0.059666667,-0.201666667,-0.201666667,-0.201666667,0.431233333,-0.201666667,0.526733333,0.324333333,-0.148866667,-0.149866667,-0.201666667,0.607533333,-0.201666667,,,,,,,-0.082966667,0.197833333,-0.201666667,-0.201666667,-0.098766667,-0.154966667,-0.201666667,0.042233333,-0.164566667,-0.201666667,0.151333333,-0.038266667,-0.150466667,-0.201666667,0.008733333,-0.152466667,-0.102066667,0.113533333,0.167833333,0.033833333,-0.201666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.5,,,,-0.3081,-0.3194,-0.3194,0.0866,-0.1805,-0.3194,-0.3194,-0.1777,-0.3017,-0.3194,0.0361,-0.189,-0.1052,-0.3194,-0.3194,-0.1934,-0.1565,-0.1599,-0.3194,-0.1753,-0.3194,0.2262,-0.3194,-0.196,-0.3194,0.2011,-0.2271,-0.1955,-0.1928,-0.0153,0.1617,-0.3194,-0.0092,-0.1951,-0.3194,-0.208,-0.1539,-0.3194,0.1925,-0.2184,-0.3194,-0.3194,0.1488,-0.3194,-0.2201,0.3202,-0.2028,0.1052,-0.3194,-0.3194,-0.1823,-0.3194,0.0637,-0.1956,-0.3194,-0.043,-0.3194,0.0002,-0.3194,-0.2102,-0.2778,-0.3194,-0.3194,-0.2416,-0.3194,-0.2438,,,,,,,-0.3194,-0.2262,-0.0971,-0.3194,-0.3194,0.3214,-0.2346,-0.3194,0.1972,-0.2286,0.4925,-0.1316,-0.223,-0.2365,-0.3194,-0.228,-0.2287,-0.3194,0.2484,0.071,-0.3194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.5,,,,-0.081333333,-0.190433333,-0.190433333,-0.190433333,-0.190433333,-0.190433333,-0.086833333,-0.190433333,-0.190433333,-0.071533333,-0.190433333,0.296766667,-0.087133333,-0.190433333,-0.031133333,-0.079833333,0.014166667,0.010066667,0.018466667,-0.190433333,-0.190433333,-0.190433333,-0.190433333,0.370666667,-0.118233333,0.341166667,-0.190433333,0.241866667,-0.190433333,-0.091033333,-0.190433333,0.535566667,0.415766667,-0.190433333,-0.096833333,-0.096033333,0.337166667,-0.190433333,0.143966667,-0.190433333,-0.116733333,0.110766667,-0.190433333,-0.190433333,-0.190433333,0.005166667,-0.100233333,-0.190433333,-0.101233333,0.046366667,0.039766667,-0.082633333,-0.190433333,-0.190433333,0.255166667,-0.190433333,-0.190433333,-0.190433333,-0.112633333,-0.063133333,0.189166667,-0.115833333,-0.117833333,0.268866667,-0.190433333,0.381366667,,,,,,,-0.190433333,-0.190433333,-0.051033333,-0.190433333,-0.190433333,0.179066667,0.569866667,-0.190433333,-0.132233333,-0.190433333,-0.116733333,0.217466667,0.247766667,-0.126333333,-0.190433333,-0.122033333,0.385166667,-0.190433333,-0.190433333,0.134566667,0.055866667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.5,,,,-0.012133333,-0.012133333,-0.012133333,-0.012133333,-0.012133333,-0.012133333,0.077766667,0.041466667,-0.012133333,0.100166667,0.519966667,0.680366667,0.016566667,0.080466667,0.074666667,0.223666667,0.750366667,-0.012133333,0.148166667,-0.012133333,-0.012133333,-0.012133333,0.071666667,-0.012133333,0.044766667,0.049966667,0.556466667,0.327466667,0.074166667,-0.012133333,-0.012133333,0.100466667,-0.012133333,-0.012133333,0.074466667,-0.012133333,-0.012133333,0.076266667,0.672466667,-0.012133333,-0.012133333,-0.012133333,-0.012133333,-0.012133333,0.442466667,-0.012133333,0.122466667,-0.012133333,0.061566667,0.062566667,-0.012133333,0.082266667,0.012566667,0.163766667,0.051466667,0.517366667,-0.012133333,0.418466667,0.048966667,0.762166667,0.064266667,-0.012133333,-0.012133333,-0.012133333,-0.012133333,0.037066667,,,,,,,-0.012133333,0.051266667,-0.012133333,0.043466667,-0.012133333,-0.012133333,0.038466667,-0.012133333,0.104266667,0.783166667,-0.012133333,-0.012133333,0.052966667,-0.012133333,-0.012133333,-0.012133333,0.664866667,-0.012133333,0.024266667,-0.012133333,-0.012133333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.5,,,,-0.1359,-0.2271,0.1116,0.0854,-0.2271,-0.2271,0.4955,-0.2039,-0.2271,-0.0302,-0.2271,0.4152,-0.2271,0.5121,-0.2271,-0.0069,-0.2271,-0.2271,-0.0012,0.2307,-0.0619,0.0121,-0.2271,-0.2271,-0.2271,-0.2271,-0.09,0.5002,0.052,0.1611,-0.197,-0.0926,-0.0697,-0.2271,-0.2271,-0.0671,-0.2271,-0.0567,-0.2271,0.567,-0.2271,-0.0735,-0.2271,0.211,-0.2271,-0.0616,0.2227,-0.2128,-0.2271,-0.2271,0.6161,0.308,-0.1184,-0.0105,-0.0997,-0.2271,-0.0967,0.5493,-0.2271,-0.0647,0.0765,-0.2271,-0.2271,0.1222,-0.2271,-0.1139,,,,,,,-0.2271,-0.0865,-0.173,-0.2271,0.4156,-0.0216,0.3688,-0.0943,0.0133,-0.2271,-0.0847,0.4158,0.482,-0.2271,-0.2271,0.515,-0.0965,-0.2271,-0.2271,0.0476,0.1795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
