Sample.Name,TempInSitu
Sump,13.8
Tank1,17
Tank2,17
Tank3,17
Tank4,17.5
Tank7,17.3
Tank8,17
Tank9,17
Tank10,16.9
Tank11,17
Tank12,17.3
Tank13,17.1
Tank14,17
Tank15,17.2
Tank16,17
Tank17,17
Tank18,17.1
Tank19,17.2
Tank20,17.3
