"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","01",0.0347,0.0314,0.0336,0.0342,0.4316,0.2066,"A01",2.30951008645533,2.37549070864553,8.08716896397903,8.09149162219381,0.0534222664573922,2022-07-18,"Tris",25
"A","01",0.0347,0.0314,0.0336,0.0342,0.4316,0.2066,"A01",2.30951008645533,2.37549070864553,8.08716896397903,8.09149162219381,0.0534222664573922,2022-07-18,"Tris",25
"A","01",0.0347,0.0314,0.0336,0.0342,0.4316,0.2066,"A01",2.30951008645533,2.37549070864553,8.08716896397903,8.09149162219381,0.0534222664573922,2022-07-18,"Tris",25
"B","01",0.0345,0.0304,0.0322,0.0351,0.4557,0.2129,"B01",2.35813436979456,2.42397731232649,8.09734652738144,8.09149162219381,0.0723587869950501,2022-07-18,"Tris",25
"B","01",0.0345,0.0304,0.0322,0.0351,0.4557,0.2129,"B01",2.35813436979456,2.42397731232649,8.09734652738144,8.09149162219381,0.0723587869950501,2022-07-18,"Tris",25
"B","01",0.0345,0.0304,0.0322,0.0351,0.4557,0.2129,"B01",2.35813436979456,2.42397731232649,8.09734652738144,8.09149162219381,0.0723587869950501,2022-07-18,"Tris",25
"C","01",0.0359,0.0314,0.0335,0.0357,0.4101,0.1912,"C01",2.39962001266624,2.46534548860038,8.10589506518465,8.09149162219381,0.178007265697813,2022-07-18,"Tris",25
"C","01",0.0359,0.0314,0.0335,0.0357,0.4101,0.1912,"C01",2.39962001266624,2.46534548860038,8.10589506518465,8.09149162219381,0.178007265697813,2022-07-18,"Tris",25
"C","01",0.0359,0.0314,0.0335,0.0357,0.4101,0.1912,"C01",2.39962001266624,2.46534548860038,8.10589506518465,8.09149162219381,0.178007265697813,2022-07-18,"Tris",25
