date,TTris,mVTris
20200114,14.816,-88.4
20200114,16.06,-84.1
20200114,16.967,-83
20200114,18.09,-81.6
20200116,14.001,-87.2
20200116,14909,-86.1
20200116,16.083,-84.7
20200116,17.004,-83.5
20200116,18.106,-81.7
