"Sample.Name","pHmean","SE"
"Sump",8.01998467461784,0.00227923342508768
"Tank1",7.81641552825292,0.00526221446010649
"Tank10",7.7445125565459,0.00771626220617665
"Tank11",7.93986481010068,0.000743865215653812
"Tank12",7.951454647442,0.000587260606600133
"Tank13",7.95262161246351,0.0015783088203354
"Tank14",7.95614777514096,0.000118960527003618
"Tank15",7.93663370296306,0.000558226603974569
"Tank16",7.94658103489628,0.00157476929976229
"Tank17",7.85753501793686,0.00193694701259851
"Tank18",7.82937376534031,0.0031794924227835
"Tank19",7.86615717528604,0.00173469679460208
"Tank2",7.82992847784271,0.00301486112837266
"Tank20",7.82720902485234,0.00432609783637275
"Tank3",7.75195378441786,0.00373084108782521
"Tank4",7.75977948764753,0.00600491018713284
"Tank7",7.75302972306764,0.00268453226118256
"Tank8",7.75635069267934,0.00435709263275665
"Tank9",7.74236906740025,0.0055952842074382
